,event_no,event_half,event,event_id,event_text,raider_id,raiding_team_id,defender_id,defending_team_id,raid_points,raid_touch_points,raid_bonus_points,raid_technical_points,raid_all_out_points,defending_capture_points,defending_bonus_points,defending_technical_points,defending_all_out_points,super_raid,super_tackle,do_or_die,super_ten,high_five,review,defending_points,clock,status_id,score,seq_no,defenders,created_date,team_id,player_id,substituted_by,substitute_time
35,36,1,Successful Raid,1,Shivam Patare raids successfully,4108.0,28.0,,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,02:56,0,"[11, 18]",35,[368],2024-02-28T21:33:11,,,,
36,37,1,Empty Raid,3,Bhavani Rajput empty raid,660.0,3.0,,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,02:28,0,"[11, 18]",36,[],2024-02-28T21:33:42,,,,
37,38,1,Empty Raid,3,Vinay  empty raid,3054.0,28.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,02:03,0,"[11, 18]",37,[],2024-02-28T21:34:12,,,,
38,39,1,Empty Raid,3,Arjun Deshwal empty raid,2024.0,3.0,,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,01:33,0,"[11, 18]",38,[],2024-02-28T21:34:44,,,,
39,40,1,Empty Raid,3,Ashish  empty raid,3028.0,28.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,00:58,0,"[11, 18]",39,[],2024-02-28T21:35:16,,,,
40,41,1,Successful Raid,1,Bhavani Rajput raids successfully,660.0,3.0,,28.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,00:28,0,"[13, 18]",40,"[5032, 4954]",2024-02-28T21:35:34,,,,
41,42,1,Successful Raid,1,Shivam Patare raids successfully,4108.0,28.0,,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,00:02,0,"[13, 19]",41,[4769],2024-02-28T21:35:58,,,,
42,43,1,Substitution,5,Lucky Sharma comes in for V Ajith Kumar,,,,,,,,,,,,,,,,,,,,,00:00,0,,0,,2024-02-28T21:35:58,3.0,3053.0,5042.0,
43,44,2,Successful Raid,1,Arjun Deshwal raids successfully,2024.0,3.0,,28.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,"{'review_taken': True, 'team_id': 28, 'outcome': {'id': 0, 'outcome_value': ''}, 'reason': None}",0.0,19:59,0,"[15, 19]",42,[4184],2024-02-28T21:45:29,,,,
44,45,2,Successful Raid,1,Shivam Patare raids successfully,4108.0,28.0,,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,19:25,0,"[15, 20]",43,[5022],2024-02-28T21:45:54,,,,
45,46,2,Successful Raid,1,Arjun Deshwal raids successfully,2024.0,3.0,,28.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,18:53,0,"[16, 20]",44,[5032],2024-02-28T21:46:33,,,,
46,47,2,Empty Raid,3,Shivam Patare empty raid,4108.0,28.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,18:19,0,"[16, 20]",45,[],2024-02-28T21:46:59,,,,
47,48,2,Successful Raid,1,Bhavani Rajput raids successfully,660.0,3.0,,28.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,17:56,0,"[17, 20]",46,[4108],2024-02-28T21:47:23,,,,
48,49,2,Successful Raid,1,Vinay  raids successfully,3054.0,28.0,,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,17:26,0,"[17, 21]",47,[3574],2024-02-28T21:47:48,,,,
