season,team_id,team_name,matches_played,team-average-raid-points_rank,team-avg-points-scored_rank,team-all-outs-conceded_rank,team-successful-tackle-percent_rank,team-super-raid_rank,team-raid_rank,team-successful-raid-percent_rank,team-dod-raid-points_rank,team-super-tackles_rank,team-raid-points_rank,team-successful-raids_rank,team-total-points-conceded_rank,team-tackle-points_rank,team-total-points_rank,team-successful-tackles-per-match_rank,team-all-outs-inflicted_rank,team-average-tackle-points_rank,team-successful-tackles_rank,team-average-raid-points_value,team-avg-points-scored_value,team-all-outs-conceded_value,team-successful-tackle-percent_value,team-super-raid_value,team-raid_value,team-successful-raid-percent_value,team-dod-raid-points_value,team-super-tackles_value,Total touch points,Total bonus points,team-raid-points_value,team-successful-raids_value,team-total-points-conceded_value,team-tackle-points_value,team-total-points_value,team-successful-tackles-per-match_value,team-all-outs-inflicted_value,team-average-tackle-points_value,team-successful-tackles_value,team-average-raid-points_points_per_match,team-avg-points-scored_points_per_match,team-all-outs-conceded_points_per_match,team-successful-tackle-percent_points_per_match,team-super-raid_points_per_match,team-raid_points_per_match,team-successful-raid-percent_points_per_match,team-dod-raid-points_points_per_match,team-super-tackles_points_per_match,Total touch points per match,Total touch points per match,team-raid-points_points_per_match,team-successful-raids_points_per_match,team-total-points-conceded_points_per_match,team-tackle-points_points_per_match,team-total-points_points_per_match,team-successful-tackles-per-match_points_per_match,team-all-outs-inflicted_points_per_match,team-average-tackle-points_points_per_match,team-successful-tackles_points_per_match
7,5,U Mumba,24,8,9,7,,7,,,3,8,6,7,10,4,5,,5,8,4,18.25,32.71,27,,9,,,79,17,336,102,438,350,732,233,785,,33,9.71,216,0.7604166666666666,1.3629166666666668,1.125,,0.375,,,3.2916666666666665,0.7083333333333334,14,4.25,18.25,14.58,30.5,30.5,32.71,0,1.38,0.4,9
7,6,Patna Pirates,22,5,4,8,,3,,,4,2,5,6,9,7,6,,3,4,11,20.32,35.18,26,,14,,,78,29,359,88,447,354,745,225,774,,34,10.23,196,0.9236363636363636,1.5990909090909091,1.181818181818182,,0.6363636363636364,,,3.5454545454545454,1.318181818181818,16.32,4,20.32,16.09,33.86,33.86,35.18,0,1.55,0.47,8.91
7,7,Puneri Paltan,22,7,6,1,,9,,,6,3,8,8,3,1,8,,9,1,2,18.59,33.82,37,,8,,,64,29,307,102,409,329,816,264,744,,22,12,235,0.845,1.5372727272727271,1.681818181818182,,0.3636363636363636,,,2.909090909090909,1.318181818181818,13.95,4.64,18.59,14.95,37.09,37.09,33.82,0,1,0.55,10.68
7,8,Telugu Titans,22,6,8,2,,6,,,12,5,7,5,5,10,9,,11,6,10,19.82,32.95,33,,11,,,49,24,307,129,436,355,792,224,725,,18,10.18,200,0.9009090909090908,1.4977272727272728,1.5,,0.5,,,2.227272727272727,1.0909090909090908,13.95,5.86,19.82,16.14,36,36,32.95,0,0.82,0.46,9.09
7,28,Haryana Steelers,23,4,5,6,,2,,,5,9,4,4,4,8,4,,4,7,6,21.3,35.17,28,,15,,,76,15,384,106,490,377,802,225,809,,33,9.78,210,0.9260869565217392,1.529130434782609,1.2173913043478262,,0.6521739130434783,,,3.3043478260869565,0.6521739130434783,16.7,4.61,21.3,16.39,34.87,34.87,35.17,0,1.43,0.43,9.13
7,29,Tamil Thalaivas,22,11,12,4,,12,,,10,10,11,10,8,12,12,,12,12,12,17.18,29.18,31,,4,,,58,15,291,87,378,308,761,192,642,,15,8.73,177,0.7809090909090909,1.3263636363636364,1.4090909090909092,,0.1818181818181818,,,2.636363636363636,0.6818181818181818,13.23,3.95,17.18,14,34.59,34.59,29.18,0,0.68,0.4,8.05
7,30,U.P. Yoddha,23,9,7,5,,11,,,2,6,9,9,7,2,7,,6,2,1,17.74,33.48,29,,6,,,80,19,312,96,408,328,764,260,770,,32,11.3,241,0.7713043478260869,1.4556521739130432,1.2608695652173914,,0.2608695652173913,,,3.4782608695652173,0.8260869565217391,13.57,4.17,17.74,14.26,33.22,33.22,33.48,0,1.39,0.49,10.48
7,31,Gujarat Giants,22,12,11,11,,10,,,7,7,12,11,12,9,11,,8,5,9,16.91,31.18,25,,7,,,63,19,300,72,372,305,668,224,686,,25,10.18,205,0.7686363636363637,1.4172727272727272,1.1363636363636365,,0.3181818181818182,,,2.863636363636364,0.8636363636363636,13.64,3.27,16.91,13.86,30.36,30.36,31.18,0,1.14,0.46,9.32
9,1,Bengaluru Bulls,24,3,3,3,5,2,2,3,9,7,1,1,2,3,2,4,2,5,4,22.92,39.42,36,38.88,20,1028,42.8,60,18,415,135,550,440,895,254,946,9.83,45,10.58,236,0.955,1.6425,1.5,1.62,0.8333333333333334,42.833333333333336,1.7833333333333332,2.5,0.75,17.29,5.63,22.92,18.33,37.29,37.29,39.42,0.41,1.88,0.44,9.83
9,2,Dabang Delhi K.C.,23,2,2,2,10,5,6,2,10,5,3,2,1,6,3,6,6,4,5,23.57,39.61,41,33.84,13,974,44.56,59,22,363,179,542,434,926,245,911,9.7,34,10.65,223,1.0247826086956522,1.7221739130434783,1.7826086956521738,1.4713043478260872,0.5652173913043478,42.34782608695652,1.937391304347826,2.565217391304348,0.9565217391304348,15.78,7.78,23.57,18.87,40.26,40.26,39.61,0.42,1.48,0.46,9.7
9,3,Jaipur Pink Panthers,24,6,1,12,1,8,3,4,6,9,4,3,10,1,1,1,1,1,1,21.63,39.83,18,46.36,11,1018,42.44,70,16,401,118,519,432,758,290,956,11.42,48,12.08,274,0.90125,1.6595833333333332,0.75,1.9316666666666664,0.4583333333333333,42.41666666666666,1.768333333333333,2.9166666666666665,0.6666666666666666,16.71,4.92,21.63,18,31.58,31.58,39.83,0.48,2,0.5,11.42
9,4,Bengal Warriors,22,4,6,6,7,1,11,5,8,11,7,8,6,9,8,8,7,10,8,22.23,36.55,32,37.36,22,924,40.91,60,10,357,132,489,378,816,214,804,9.27,30,9.73,204,1.0104545454545455,1.6613636363636362,1.4545454545454546,1.6981818181818182,1,42,1.8595454545454544,2.727272727272727,0.4545454545454545,16.23,6,22.23,17.18,37.09,37.09,36.55,0.42,1.36,0.44,9.27
9,5,U Mumba,22,11,11,10,2,7,12,11,4,2,11,12,12,5,11,5,11,3,6,17.45,32.5,27,42.94,12,922,31.89,75,30,318,100,384,294,743,246,715,9.82,23,11.18,216,0.7931818181818181,1.4772727272727273,1.2272727272727273,1.9518181818181817,0.5454545454545454,41.90909090909091,1.4495454545454545,3.409090909090909,1.3636363636363635,14.45,4.55,17.45,13.36,33.77,33.77,32.5,0.45,1.05,0.51,9.82
9,6,Patna Pirates,22,10,10,4,9,11,7,10,1,6,10,10,9,10,10,9,9,9,10,19,32.86,34,36.5,9,953,35.99,107,18,283,101,418,343,781,214,723,8.91,28,9.73,196,0.8636363636363636,1.4936363636363637,1.5454545454545454,1.6590909090909092,0.4090909090909091,43.31818181818182,1.635909090909091,4.863636363636363,0.8181818181818182,12.86,4.59,19,15.59,35.5,35.5,32.86,0.41,1.27,0.44,8.91
