season,team_name,Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
PKL-08,Gujarat Fortunegiants,,3,9,6%,33.30%,44.40%,22.20%
PKL-08,Gujarat Fortunegiants,,4,25,17%,40.00%,36.00%,24.00%
PKL-08,Gujarat Fortunegiants,,5,46,31%,39.10%,28.30%,32.60%
PKL-08,Gujarat Fortunegiants,,6,16,11%,50.00%,25.00%,25.00%
PKL-08,Gujarat Fortunegiants,,7,38,26%,34.20%,36.80%,28.90%
PKL-08,Gujarat Fortunegiants,Rakesh Narwal,2,6,4%,33.30%,33.30%,33.30%
PKL-08,Gujarat Fortunegiants,,3,8,5%,87.50%,12.50%,
PKL-08,Gujarat Fortunegiants,,4,10,7%,40.00%,50.00%,10.00%
PKL-08,Gujarat Fortunegiants,,5,17,12%,88.20%,5.90%,5.90%
PKL-08,Gujarat Fortunegiants,,6,51,35%,39.20%,47.10%,13.70%
PKL-08,Gujarat Fortunegiants,,7,55,37%,36.40%,43.60%,20.00%
PKL-08,Gujarat Fortunegiants,Rakesh Sungroya,1,2,1%,,100.00%,
PKL-08,Gujarat Fortunegiants,,2,22,7%,18.20%,59.10%,22.70%
PKL-08,Gujarat Fortunegiants,,3,18,6%,50.00%,33.30%,16.70%
PKL-08,Gujarat Fortunegiants,,4,43,14%,30.20%,27.90%,41.90%
PKL-08,Gujarat Fortunegiants,,5,66,22%,50.00%,24.20%,25.80%
PKL-08,Gujarat Fortunegiants,,6,53,18%,26.40%,52.80%,20.80%
PKL-08,Gujarat Fortunegiants,,7,93,31%,33.30%,44.10%,22.60%
PKL-08,Gujarat Fortunegiants,Rathan K,3,1,5%,,,100.00%
PKL-08,Gujarat Fortunegiants,,4,5,24%,80.00%,,20.00%
PKL-08,Gujarat Fortunegiants,,5,6,29%,66.70%,,33.30%
PKL-08,Gujarat Fortunegiants,,6,5,24%,40.00%,40.00%,20.00%
PKL-08,Gujarat Fortunegiants,,7,4,19%,25.00%,25.00%,50.00%
PKL-08,Gujarat Fortunegiants,Sonu Singh,5,1,25%,,,100.00%
PKL-08,Gujarat Fortunegiants,,7,3,75%,66.70%,,33.30%
PKL-08,Gujarat Fortunegiants,Sunil Kumar,3,1,7%,100.00%,,
PKL-08,Gujarat Fortunegiants,,5,1,7%,100.00%,,
PKL-08,Gujarat Fortunegiants,,6,3,20%,100.00%,,
PKL-08,Gujarat Fortunegiants,,7,10,67%,90.00%,10.00%,
PKL-08,Dabang Delhi,Ajay Thakur,3,1,8%,100.00%,,
PKL-08,Dabang Delhi,,5,3,23%,66.70%,,33.30%
PKL-08,Dabang Delhi,,7,9,69%,22.20%,33.30%,44.40%
PKL-08,Dabang Delhi,Ashu Malik,2,3,2%,,66.70%,33.30%
PKL-08,Dabang Delhi,,3,4,3%,50.00%,25.00%,25.00%
PKL-08,Dabang Delhi,,4,26,19%,42.30%,26.90%,30.80%
PKL-08,Dabang Delhi,,5,49,36%,44.90%,26.50%,28.60%
PKL-08,Dabang Delhi,,6,20,14%,40.00%,25.00%,35.00%
PKL-08,Dabang Delhi,,7,36,26%,36.10%,36.10%,27.80%
PKL-08,Dabang Delhi,Balram,4,1,25%,100.00%,,
PKL-08,Dabang Delhi,,5,1,25%,100.00%,,
PKL-08,Dabang Delhi,,7,2,50%,50.00%,,50.00%
PKL-08,Dabang Delhi,Joginder Narwal,7,1,100%,,,100.00%
PKL-08,Dabang Delhi,Manjeet,2,1,6%,,,100.00%
PKL-08,Dabang Delhi,,4,5,29%,20.00%,20.00%,60.00%
PKL-08,Dabang Delhi,,5,3,18%,66.70%,,33.30%
PKL-08,Dabang Delhi,,6,2,12%,,50.00%,50.00%
PKL-08,Dabang Delhi,,7,6,35%,16.70%,66.70%,16.70%
PKL-08,Dabang Delhi,Manjeet Chhillar,4,1,20%,100.00%,,
PKL-08,Dabang Delhi,,6,2,40%,100.00%,,
PKL-08,Dabang Delhi,,7,2,40%,50.00%,50.00%,
PKL-08,Dabang Delhi,Naveen Kumar,1,2,1%,,100.00%,
PKL-08,Dabang Delhi,,2,25,7%,4.00%,88.00%,8.00%
PKL-08,Dabang Delhi,,3,21,6%,9.50%,57.10%,33.30%
PKL-08,Dabang Delhi,,4,48,14%,35.40%,52.10%,12.50%
PKL-08,Dabang Delhi,,5,69,20%,56.50%,27.50%,15.90%
PKL-08,Dabang Delhi,,6,70,21%,21.40%,61.40%,17.10%
PKL-08,Dabang Delhi,,7,103,30%,26.20%,61.20%,12.60%
PKL-08,Dabang Delhi,Neeraj Narwal,2,2,2%,,100.00%,
PKL-08,Dabang Delhi,,3,11,11%,54.50%,18.20%,27.30%
