season,team_name,player-id-pkdc,Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
PKL-06,Patna Pirates,3081,Vijay ,6,20,18%,30.00%,70.00%,
PKL-06,Patna Pirates,3081,Vijay ,7,48,43%,22.90%,58.30%,18.80%
PKL-06,Patna Pirates,768,Vijay Kumar,6,1,50%,,100.00%,
PKL-06,Patna Pirates,768,Vijay Kumar,7,1,50%,100.00%,,
PKL-06,Patna Pirates,121,Vikash Jaglan,3,2,5%,,,100.00%
PKL-06,Patna Pirates,121,Vikash Jaglan,4,4,10%,50.00%,25.00%,25.00%
PKL-06,Patna Pirates,121,Vikash Jaglan,5,7,17%,100.00%,,
PKL-06,Patna Pirates,121,Vikash Jaglan,6,10,24%,30.00%,60.00%,10.00%
PKL-06,Patna Pirates,121,Vikash Jaglan,7,19,45%,42.10%,31.60%,26.30%
PKL-06,Patna Pirates,179,Vikas Kale,6,1,25%,100.00%,,
PKL-06,Patna Pirates,179,Vikas Kale,7,3,75%,100.00%,,
PKL-06,Telugu Titans,489,Abozar Mighani,3,9,35%,100.00%,,
PKL-06,Telugu Titans,489,Abozar Mighani,4,5,19%,100.00%,,
PKL-06,Telugu Titans,489,Abozar Mighani,5,6,23%,100.00%,,
PKL-06,Telugu Titans,489,Abozar Mighani,6,4,15%,100.00%,,
PKL-06,Telugu Titans,489,Abozar Mighani,7,2,8%,100.00%,,
PKL-06,Telugu Titans,311,Anil Kumar,5,1,11%,100.00%,,
PKL-06,Telugu Titans,311,Anil Kumar,6,5,56%,100.00%,,
PKL-06,Telugu Titans,311,Anil Kumar,7,3,33%,33.30%,,66.70%
PKL-06,Telugu Titans,#N/A,Ankit Beniwal,6,2,67%,50.00%,,50.00%
PKL-06,Telugu Titans,#N/A,Ankit Beniwal,7,1,33%,,,100.00%
PKL-06,Telugu Titans,2336,Anuj Kumar,6,3,60%,100.00%,,
PKL-06,Telugu Titans,2336,Anuj Kumar,7,2,40%,50.00%,50.00%,
PKL-06,Telugu Titans,2298,Armaan ,2,1,4%,,100.00%,
PKL-06,Telugu Titans,2298,Armaan ,4,1,4%,100.00%,,
PKL-06,Telugu Titans,2298,Armaan ,5,4,17%,50.00%,25.00%,25.00%
PKL-06,Telugu Titans,2298,Armaan ,6,6,26%,,50.00%,50.00%
PKL-06,Telugu Titans,2298,Armaan ,7,11,48%,18.20%,45.50%,36.40%
PKL-06,Telugu Titans,2274,C Manoj Kumar ,4,2,10%,,,100.00%
PKL-06,Telugu Titans,2274,C Manoj Kumar ,5,8,38%,25.00%,37.50%,37.50%
PKL-06,Telugu Titans,2274,C Manoj Kumar ,6,5,24%,20.00%,40.00%,40.00%
PKL-06,Telugu Titans,2274,C Manoj Kumar ,7,6,29%,33.30%,33.30%,33.30%
PKL-06,Telugu Titans,482,Farhad Milaghardan,2,2,3%,,50.00%,50.00%
PKL-06,Telugu Titans,482,Farhad Milaghardan,3,3,5%,33.30%,33.30%,33.30%
PKL-06,Telugu Titans,482,Farhad Milaghardan,4,5,8%,40.00%,20.00%,40.00%
