Season,Team Name,Player Name,Position,Total Played,Total Starts
PKL_S6,Gujarat Fortunegiants,Dong Geon Lee,Raider,11,9
PKL_S6,Gujarat Fortunegiants,Amit,Right Cover,6,1
PKL_S6,Gujarat Fortunegiants,Shubham Ashok Palkar,Raider,4,0
PKL_S6,Gujarat Fortunegiants,Dharmender,Raider,4,0
PKL_S6,Gujarat Fortunegiants,Lalit chaudhary,Raider,3,1
PKL_S6,Gujarat Fortunegiants,C Kalai Arasan,Defender,2,2
PKL_S6,Gujarat Fortunegiants,Anil,All Rounder,2,0
PKL_S6,Gujarat Fortunegiants,Vikram Kandola,Left Cover,1,1
PKL_S6,Gujarat Fortunegiants,Yashwant Bishnoi,Raider,0,0
PKL_S6,Haryana Steelers,Vikash Khandola,Raider,22,22
PKL_S6,Haryana Steelers,Sunil,Right Corner,22,22
PKL_S6,Haryana Steelers,Kuldeep Singh,All Rounder,22,21
PKL_S6,Haryana Steelers,Naveen,Raider,21,19
PKL_S6,Haryana Steelers,Monu Goyat,Raider,20,19
PKL_S6,Haryana Steelers,Sachin Shingade,Left Cover,19,13
PKL_S6,Haryana Steelers,Parveen Satpal,Left Cover,19,10
PKL_S6,Haryana Steelers,Mayur Shivtarkar,All Rounder,18,16
PKL_S6,Haryana Steelers,Sudhanshu Tyagi,Right Cover,13,7
PKL_S6,Haryana Steelers,Prateek,All Rounder,6,1
PKL_S6,Haryana Steelers,Bhuvneshwar Gaur,Raider,6,0
PKL_S6,Haryana Steelers,Anand Surendra Tomar,Raider,5,1
PKL_S6,Haryana Steelers,Wazir Singh,Raider,2,2
PKL_S6,Haryana Steelers,Arun Kumar HN,Raider,2,0
PKL_S6,Haryana Steelers,Surender Nada,Left Corner,1,1
PKL_S6,Haryana Steelers,Phonchoo Tin,All Rounder,0,0
PKL_S6,Haryana Steelers,Patrick Nzau Muvai,All Rounder,0,0
PKL_S6,Haryana Steelers,Amit Singh,Right Cover,0,0
PKL_S6,Jaipur Pink Panthers,Sandeep Dhull,Left Corner,22,19
PKL_S6,Jaipur Pink Panthers,Deepak Hooda,All Rounder,22,22
PKL_S6,Jaipur Pink Panthers,Amit Kumar,Raider,17,10
PKL_S6,Jaipur Pink Panthers,Ajinkya Ashok Pawar,Raider,17,14
PKL_S6,Jaipur Pink Panthers,Sunil Siddhgavali,Raider,16,16
PKL_S6,Jaipur Pink Panthers,Selvamani K,Raider,14,7
PKL_S6,Jaipur Pink Panthers,Santhapanaselvam,All Rounder,14,8
PKL_S6,Jaipur Pink Panthers,Mohit Chhillar,Right Corner,14,14
PKL_S6,Jaipur Pink Panthers,Anup Kumar,Raider,13,13
PKL_S6,Jaipur Pink Panthers,Young Chang Ko,Left Cover,12,10
PKL_S6,Jaipur Pink Panthers,Nitin Rawal,Left Cover,9,7
PKL_S6,Jaipur Pink Panthers,Anand Patil,Raider,7,5
PKL_S6,Jaipur Pink Panthers,Lokesh Kaushik,Raider,6,2
PKL_S6,Jaipur Pink Panthers,Gangadhari Mallesh,Raider,6,1
PKL_S6,Jaipur Pink Panthers,Bajirao Hodage,Right Cover,6,6
PKL_S6,Jaipur Pink Panthers,Ajit Singh,Raider,6,0
PKL_S6,Jaipur Pink Panthers,David Mosambayi,Raider,4,0
PKL_S6,Jaipur Pink Panthers,N. Shiva Ramakrishna,All Rounder,1,0
PKL_S6,Patna Pirates,Vikas Kale,Right Cover,22,22
PKL_S6,Patna Pirates,Manjeet,Raider,22,21
PKL_S6,Patna Pirates,Jaideep,Left Corner,22,22
PKL_S6,Patna Pirates,Vijay,Raider,21,7
PKL_S6,Patna Pirates,Pardeep Narwal,Raider,21,21
PKL_S6,Patna Pirates,Manish,Right Cover,17,1
PKL_S6,Patna Pirates,Deepak Narwal,Raider,17,14
PKL_S6,Patna Pirates,Jawahar Dagar,Raider,15,14
PKL_S6,Patna Pirates,Vikas Jaglan,Raider,14,11
PKL_S6,Patna Pirates,Tae Deok Eom,Defender,11,8
PKL_S6,Patna Pirates,Tushar Patil,Raider,9,2
PKL_S6,Patna Pirates,Ravinder Kumar,Defender,8,7
PKL_S6,Patna Pirates,Kuldeep Singh,Defender,7,3
PKL_S6,Patna Pirates,Vijay Kumar,Left Corner,4,1
PKL_S6,Patna Pirates,Surender Singh,Raider,1,0
PKL_S6,Patna Pirates,Ogak Haggai Odhiambo,All Rounder,0,0
PKL_S6,Puneri Paltan,Ravi Kumar,Right Cover,22,22
PKL_S6,Puneri Paltan,More G B,Raider,22,16
PKL_S6,Puneri Paltan,Girish Maruti Ernak,Left Corner,20,20
PKL_S6,Puneri Paltan,Sandeep Narwal,All Rounder,18,17
