Player_Name,Tournament,Team,Price,Status
mohit-goyat-5003484?,Pro Kabaddi Season 9,Puneri Paltan,20.00 L,RETAINED
mohit-goyat-5003484?,Pro Kabaddi Season 8,Puneri Paltan,8.00 L,SOLD
siddharth-sirish-desai-1000399?,Pro Kabaddi Season 9,Telugu Titans,20.00 L,SOLD
siddharth-sirish-desai-1000399?,Pro Kabaddi Season 8,Telugu Titans,130.00 L,FBM
siddharth-sirish-desai-1000399?,Pro Kabaddi Season 7,Telugu Titans,145.00 L,SOLD
siddharth-sirish-desai-1000399?,Pro Kabaddi Season 6,U Mumba,36.40 L,SOLD
sandeep-dhull-1000348?,Pro Kabaddi Season 9,Dabang Delhi KC,40.00 L,SOLD
sandeep-dhull-1000348?,Pro Kabaddi Season 8,Jaipur Pink Panthers,45.00 L,FBM
sandeep-dhull-1000348?,Pro Kabaddi Season 7,Jaipur Pink Panthers,33.83 L,RETAINED
sandeep-dhull-1000348?,Pro Kabaddi Season 6,Jaipur Pink Panthers,66.00 L,SOLD
sandeep-dhull-1000348?,Pro Kabaddi Season 4,Telugu Titans,13.00 L,SOLD
rohit-gulia-1000072?,Pro Kabaddi Season 9,Patna Pirates,30.00 L,SOLD
rohit-gulia-1000072?,Pro Kabaddi Season 8,Haryana Steelers,83.00 L,SOLD
rohit-gulia-1000072?,Pro Kabaddi Season 7,Gujarat Fortunegiants,25.00 L,RETAINED
rohit-gulia-1000072?,Pro Kabaddi Season 6,Gujarat Fortunegiants,6.60 L,RETAINED
sunil-kumar-1000077?,Pro Kabaddi Season 9,Jaipur Pink Panthers,90.00 L,SOLD
sunil-kumar-1000077?,Pro Kabaddi Season 8,Gujarat Giants,74.40 L,RETAINED
sunil-kumar-1000077?,Pro Kabaddi Season 7,Gujarat Fortunegiants,67.00 L,RETAINED
sunil-kumar-1000077?,Pro Kabaddi Season 6,Gujarat Fortunegiants,49.10 L,RETAINED
sunil-kumar-1000077?,Pro Kabaddi Season 5,Gujarat Fortunegiants,30.40 L,SOLD
monu-goyat-1000129?,Pro Kabaddi Season 9,Telugu Titans,20.00 L,SOLD
monu-goyat-1000129?,Pro Kabaddi Season 8,Patna Pirates,20.00 L,SOLD
monu-goyat-1000129?,Pro Kabaddi Season 7,UP Yoddha,93.00 L,SOLD
monu-goyat-1000129?,Pro Kabaddi Season 6,Haryana Steelers,151.00 L,SOLD
monu-goyat-1000129?,Pro Kabaddi Season 5,Patna Pirates,44.50 L,SOLD
ashu-malik-5003450?,Pro Kabaddi Season 9,Dabang Delhi KC,8.80 L,RETAINED
ran-singh-1000028?,Pro Kabaddi Season 7,Tamil Thalaivas,55.00 L,SOLD
ran-singh-1000028?,Pro Kabaddi Season 6,Bengal Warriors,43.00 L,SOLD
ran-singh-1000028?,Pro Kabaddi Season 5,Bengal Warriors,47.50 L,SOLD
ran-singh-1000028?,Pro Kabaddi Season 4,Jaipur Pink Panthers,30.00 L,SOLD
parvesh-bhainswal-1000069?,Pro Kabaddi Season 9,Telugu Titans,62.00 L,SOLD
parvesh-bhainswal-1000069?,Pro Kabaddi Season 8,Gujarat Giants,84.50 L,RETAINED
parvesh-bhainswal-1000069?,Pro Kabaddi Season 7,Gujarat Fortunegiants,75.00 L,FBM
parvesh-bhainswal-1000069?,Pro Kabaddi Season 6,Gujarat Fortunegiants,35.00 L,SOLD
parvesh-bhainswal-1000069?,Pro Kabaddi Season 5,Gujarat Fortunegiants,25.00 L,SOLD
girish-maruti-ernak-1000145?,Pro Kabaddi Season 9,Bengal Warriors,20.00 L,SOLD
girish-maruti-ernak-1000145?,Pro Kabaddi Season 8,Gujarat Giants,20.00 L,SOLD
girish-maruti-ernak-1000145?,Pro Kabaddi Season 7,Puneri Paltan,33.00 L,FBM
girish-maruti-ernak-1000145?,Pro Kabaddi Season 6,Puneri Paltan,49.10 L,RETAINED
girish-maruti-ernak-1000145?,Pro Kabaddi Season 5,Puneri Paltan,33.50 L,SOLD
girish-maruti-ernak-1000145?,Pro Kabaddi Season 4,Bengal Warriors,15.00 L,SOLD
sukesh-hegde-1000075?,Pro Kabaddi Season 8,Bengal Warriors,30.00 L,FBM
sukesh-hegde-1000075?,Pro Kabaddi Season 7,Bengal Warriors,20.00 L,SOLD
sukesh-hegde-1000075?,Pro Kabaddi Season 6,Tamil Thalaivas,28.00 L,SOLD
sukesh-hegde-1000075?,Pro Kabaddi Season 5,Gujarat Fortunegiants,31.50 L,SOLD
sukesh-hegde-1000075?,Pro Kabaddi Season 4,Telugu Titans,16.00 L,SOLD
jang-kun-lee-1000024?,Pro Kabaddi Season 8,Patna Pirates,20.50 L,FBM
jang-kun-lee-1000024?,Pro Kabaddi Season 7,Patna Pirates,40.00 L,SOLD
jang-kun-lee-1000024?,Pro Kabaddi Season 6,Bengal Warriors,33.00 L,SOLD
jang-kun-lee-1000024?,Pro Kabaddi Season 5,Bengal Warriors,80.30 L,RETAINED
jang-kun-lee-1000024?,Pro Kabaddi Season 4,Bengal Warriors,22.00 L,SOLD
chandran-ranjit-1000064?,Pro Kabaddi Season 9,Gujarat Giants,30.00 L,SOLD
chandran-ranjit-1000064?,Pro Kabaddi Season 8,Bengaluru Bulls,80.00 L,SOLD
chandran-ranjit-1000064?,Pro Kabaddi Season 7,Dabang Delhi KC,70.00 L,FBM
chandran-ranjit-1000064?,Pro Kabaddi Season 6,Dabang Delhi KC,61.25 L,SOLD
chandran-ranjit-1000064?,Pro Kabaddi Season 5,Gujarat Fortunegiants,8.00 L,SOLD
vishal-bharadwaj-1000202?,Pro Kabaddi Season 8,Puneri Paltan,60.00 L,SOLD
vishal-bharadwaj-1000202?,Pro Kabaddi Season 7,Telugu Titans,60.00 L,FBM
vishal-bharadwaj-1000202?,Pro Kabaddi Season 6,Telugu Titans,6.60 L,RETAINED
