season,team_id,team_name,matches_played,team-average-raid-points_rank,team-avg-points-scored_rank,team-all-outs-conceded_rank,team-successful-tackle-percent_rank,team-super-raid_rank,team-raid_rank,team-successful-raid-percent_rank,team-dod-raid-points_rank,team-super-tackles_rank,team-raid-points_rank,team-successful-raids_rank,team-total-points-conceded_rank,team-tackle-points_rank,team-total-points_rank,team-successful-tackles-per-match_rank,team-all-outs-inflicted_rank,team-average-tackle-points_rank,team-successful-tackles_rank,team-average-raid-points_value,team-avg-points-scored_value,team-all-outs-conceded_value,team-successful-tackle-percent_value,team-super-raid_value,team-raid_value,team-successful-raid-percent_value,team-dod-raid-points_value,team-super-tackles_value,Total touch points,Total bonus points,team-raid-points_value,team-successful-raids_value,team-total-points-conceded_value,team-tackle-points_value,team-total-points_value,team-successful-tackles-per-match_value,team-all-outs-inflicted_value,team-average-tackle-points_value,team-successful-tackles_value,team-average-raid-points_per-match,team-avg-points-scored_per-match,team-all-outs-conceded_per-match,team-successful-tackle-percent_per-match,team-super-raid_per-match,team-raid_per-match,team-successful-raid-percent_per-match,team-dod-raid-points_per-match,team-super-tackles_per-match,team-total-touch-points-ext_per-match,team-total-bonus--points-ext_per-match,team-raid-points_per-match,team-successful-raids_per-match,team-total-points-conceded_per-match,team-tackle-points_per-match,team-total-points_per-match,team-successful-tackles-per-match_per-match,team-all-outs-inflicted_per-match,team-average-tackle-points_per-match,team-successful-tackles_per-match
9,1,Bengaluru Bulls,24,3,3,3,5,2,2,3,9,7,1,1,2,3,2,4,2,5,4,22.92,39.42,36,38.88,20,1028,42.8,60,18,415,135,550,440,895,254,946,9.83,45,10.58,236,0.955,1.643,1.5,1.62,0.833,42.833,1.783,2.5,0.75,17.292,5.625,22.917,18.333,37.292,10.583,39.417,0.41,1.875,0.441,9.833
9,2,Dabang Delhi K.C.,23,2,2,2,10,5,6,2,10,5,3,2,1,6,3,6,6,4,5,23.57,39.61,41,33.84,13,974,44.56,59,22,363,179,542,434,926,245,911,9.7,34,10.65,223,1.025,1.722,1.783,1.471,0.565,42.348,1.937,2.565,0.957,15.783,7.783,23.565,18.87,40.261,10.652,39.609,0.422,1.478,0.463,9.696
9,3,Jaipur Pink Panthers,24,6,1,12,1,8,3,4,6,9,4,3,10,1,1,1,1,1,1,21.63,39.83,18,46.36,11,1018,42.44,70,16,401,118,519,432,758,290,956,11.42,48,12.08,274,0.901,1.66,0.75,1.932,0.458,42.417,1.768,2.917,0.667,16.708,4.917,21.625,18,31.583,12.083,39.833,0.476,2,0.503,11.417
9,4,Bengal Warriors,22,4,6,6,7,1,11,5,8,11,7,8,6,9,8,8,7,10,8,22.23,36.55,32,37.36,22,924,40.91,60,10,357,132,489,378,816,214,804,9.27,30,9.73,204,1.01,1.661,1.455,1.698,1,42,1.86,2.727,0.455,16.227,6,22.227,17.182,37.091,9.727,36.545,0.421,1.364,0.442,9.273
9,5,U Mumba,22,11,11,10,2,7,12,11,4,2,11,12,12,5,11,5,11,3,6,17.45,32.5,27,42.94,12,922,31.89,75,30,318,100,384,294,743,246,715,9.82,23,11.18,216,0.793,1.477,1.227,1.952,0.545,41.909,1.45,3.409,1.364,14.455,4.545,17.455,13.364,33.773,11.182,32.5,0.446,1.045,0.508,9.818
9,6,Patna Pirates,22,10,10,4,9,11,7,10,1,6,10,10,9,10,10,9,9,9,10,19,32.86,34,36.5,9,953,35.99,107,18,283,101,418,343,781,214,723,8.91,28,9.73,196,0.864,1.494,1.545,1.659,0.409,43.318,1.636,4.864,0.818,12.864,4.591,19,15.591,35.5,9.727,32.864,0.405,1.273,0.442,8.909
9,7,Puneri Paltan,24,7,7,11,3,10,4,6,3,10,5,5,8,4,4,3,3,6,3,21.13,36.33,26,40.61,11,1006,40.85,80,14,395,112,507,411,808,252,872,9.92,38,10.5,238,0.88,1.514,1.083,1.692,0.458,41.917,1.702,3.333,0.583,16.458,4.667,21.125,17.125,33.667,10.5,36.333,0.413,1.583,0.438,9.917
9,8,Telugu Titans,22,12,12,1,12,12,8,12,11,1,12,11,3,11,12,12,12,11,12,17.09,28.77,48,30,6,939,31.63,57,37,261,115,376,297,878,202,633,7.5,11,9.18,165,0.777,1.308,2.182,1.364,0.273,42.682,1.438,2.591,1.682,11.864,5.227,17.091,13.5,39.909,9.182,28.773,0.341,0.5,0.417,7.5
9,28,Haryana Steelers,22,8,9,9,4,6,10,8,12,8,9,9,11,8,9,7,10,7,7,20.82,35,29,39.06,13,928,38.69,50,17,347,111,458,359,754,224,770,9.41,25,10.18,207,0.946,1.591,1.318,1.775,0.591,42.182,1.759,2.273,0.773,15.773,5.045,20.818,16.318,34.273,10.182,35,0.428,1.136,0.463,9.409
9,29,Tamil Thalaivas,24,9,8,5,6,9,1,9,2,3,8,7,4,2,6,2,8,2,2,20.29,35.54,33,37.44,11,1041,36.7,98,28,351,136,487,382,850,271,853,10.13,30,11.29,243,0.845,1.481,1.375,1.56,0.458,43.375,1.529,4.083,1.167,14.625,5.667,20.292,15.917,35.417,11.292,35.542,0.422,1.25,0.47,10.125
9,30,U.P. Yoddhas,23,5,5,8,8,3,5,7,5,4,6,6,7,7,5,10,4,8,9,21.91,37.13,29,36.79,20,974,39.43,70,22,372,132,504,384,812,224,854,8.78,37,9.74,202,0.953,1.614,1.261,1.6,0.87,42.348,1.714,3.043,0.957,16.174,5.739,21.913,16.696,35.304,9.739,37.13,0.382,1.609,0.423,8.783
9,31,Gujarat Giants,22,1,4,7,11,4,9,1,7,12,2,4,5,12,7,11,5,12,11,24.95,37.86,30,32.66,16,935,44.92,63,3,405,144,549,420,849,180,833,8.05,34,8.18,177,1.134,1.721,1.364,1.485,0.727,42.5,2.042,2.864,0.136,18.409,6.545,24.955,19.091,38.591,8.182,37.864,0.366,1.545,0.372,8.045
10,1,Bengaluru Bulls,22,11,12,6,3,2,11,11,8,9,12,12,7,7,12,4,9,5,6,18.45,33.36,31,43.74,16,956,32.53,72,19,,,406,311,801,246,734,10.32,25,11.18,227,0.839,1.516,1.409,1.988,0.727,43.455,1.479,3.273,0.864,0,0,18.455,14.136,36.409,11.182,33.364,0.469,1.136,0.508,10.318
10,2,Dabang Delhi K.C.,23,4,8,7,7,4,7,2,5,11,5,3,9,8,6,8,3,9,8,20.61,36.04,28,39.12,13,975,40,74,18,,,474,390,778,239,829,9.61,34,10.39,221,0.896,1.567,1.217,1.701,0.565,42.391,1.739,3.217,0.783,0,0,20.609,16.957,33.826,10.391,36.043,0.418,1.478,0.452,9.609
10,3,Jaipur Pink Panthers,23,5,5,11,6,5,5,6,3,3,6,6,11,5,4,6,2,4,5,20.17,36.65,20,41.64,13,984,37.5,84,31,,,464,369,706,260,843,9.96,35,11.3,229,0.877,1.593,0.87,1.81,0.565,42.783,1.63,3.652,1.348,0,0,20.174,16.043,30.696,11.304,36.652,0.433,1.522,0.491,9.957
