player-super-raids_player_name,player-raid-points_player_name,player-successful-raids_player_name,player-total-points_player_name,player-super-tackles_player_name,player-dod-raid-points_player_name,super-10s_player_name,high-5s_player_name,player-tackle-points_player_name,player-successful-tackles_player_name,player-avg-tackle-points_player_name,player-super-raids_match_played,player-raid-points_match_played,player-successful-raids_match_played,player-total-points_match_played,player-super-tackles_match_played,player-dod-raid-points_match_played,super-10s_match_played,high-5s_match_played,player-tackle-points_match_played,player-successful-tackles_match_played,player-avg-tackle-points_match_played,player-super-raids_position_name,player-raid-points_position_name,player-successful-raids_position_name,player-total-points_position_name,player-super-tackles_position_name,player-dod-raid-points_position_name,super-10s_position_name,high-5s_position_name,player-tackle-points_position_name,player-successful-tackles_position_name,player-avg-tackle-points_position_name,player-super-raids_team,player-raid-points_team,player-successful-raids_team,player-total-points_team,player-super-tackles_team,player-dod-raid-points_team,super-10s_team,high-5s_team,player-tackle-points_team,player-successful-tackles_team,player-avg-tackle-points_team,player-super-raids_team_name,player-raid-points_team_name,player-successful-raids_team_name,player-total-points_team_name,player-super-tackles_team_name,player-dod-raid-points_team_name,super-10s_team_name,high-5s_team_name,player-tackle-points_team_name,player-successful-tackles_team_name,player-avg-tackle-points_team_name,player-super-raids_team_full_name,player-raid-points_team_full_name,player-successful-raids_team_full_name,player-total-points_team_full_name,player-super-tackles_team_full_name,player-dod-raid-points_team_full_name,super-10s_team_full_name,high-5s_team_full_name,player-tackle-points_team_full_name,player-successful-tackles_team_full_name,player-avg-tackle-points_team_full_name,player-super-raids_rank,player-raid-points_rank,player-successful-raids_rank,player-total-points_rank,player-super-tackles_rank,player-dod-raid-points_rank,super-10s_rank,high-5s_rank,player-tackle-points_rank,player-successful-tackles_rank,player-avg-tackle-points_rank,player-super-raids_value,player-raid-points_value,player-successful-raids_value,player-total-points_value,player-super-tackles_value,player-dod-raid-points_value,super-10s_value,high-5s_value,player-tackle-points_value,player-successful-tackles_value,player-avg-tackle-points_value,player-super-raids_points_per_match,player-raid-points_points_per_match,player-successful-raids_points_per_match,player-total-points_points_per_match,player-super-tackles_points_per_match,player-dod-raid-points_points_per_match,super-10s_points_per_match,high-5s_points_per_match,player-tackle-points_points_per_match,player-successful-tackles_points_per_match,player-avg-tackle-points_points_per_match,player-super-raids_team_id,player-raid-points_team_id,player-successful-raids_team_id,player-total-points_team_id,player-super-tackles_team_id,player-dod-raid-points_team_id,super-10s_team_id,high-5s_team_id,player-tackle-points_team_id,player-successful-tackles_team_id,player-avg-tackle-points_team_id,player-super-raids_position_id,player-raid-points_position_id,player-successful-raids_position_id,player-total-points_position_id,player-super-tackles_position_id,player-dod-raid-points_position_id,super-10s_position_id,high-5s_position_id,player-tackle-points_position_id,player-successful-tackles_position_id,player-avg-tackle-points_position_id
,,,Rupesh Tomar,,,,,Rupesh Tomar,Rupesh Tomar,Rupesh Tomar,,,,3,,,,,3.0,3.0,3.0,,,,All Rounder,,,,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,,,HYD,,,,,HYD,HYD,HYD,,,,Telugu Titans,,,,,Telugu Titans,Telugu Titans,Telugu Titans,,,,87,,,,,56.0,51.0,40.0,,,,3,,,,,3.0,3.0,1.0,,,,1.0,,,,,1.0,1.0,0.3333333333333333,,,,8,,,,,8.0,8.0,8.0,,,,0,,,,,0.0,0.0,0.0
Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,,Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,12.0,12.0,12.0,12,12.0,12.0,,12.0,12.0,12.0,12.0,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,JAI,JAI,JAI,JAI,JAI,JAI,,JAI,JAI,JAI,JAI,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,23.0,25.0,25.0,35,5.0,45.0,,21.0,36.0,39.0,41.0,1.0,24.0,18.0,35,5.0,2.0,,1.0,11.0,6.0,0.92,0.0833333333333333,2.0,1.5,2.9166666666666665,0.4166666666666667,0.1666666666666666,,0.0833333333333333,0.9166666666666666,0.5,0.0766666666666666,3.0,3.0,3.0,3,3.0,3.0,,3.0,3.0,3.0,3.0,8.0,8.0,8.0,8,8.0,8.0,,8.0,8.0,8.0,8.0
,Shrikant Jadhav,Shrikant Jadhav,Shrikant Jadhav,,,,,,,,,5.0,5.0,5,,,,,,,,,Raider,Raider,Raider,,,,,,,,,,,,,,,,,,,,KOL,KOL,KOL,,,,,,,,,Bengal Warriors,Bengal Warriors,Bengal Warriors,,,,,,,,,45.0,45.0,78,,,,,,,,,7.0,6.0,7,,,,,,,,,1.4,1.2,1.4,,,,,,,,,4.0,4.0,4,,,,,,,,,8.0,8.0,8,,,,,,,
,,,Shrikant Tewthia,Shrikant Tewthia,,,,Shrikant Tewthia,Shrikant Tewthia,Shrikant Tewthia,,,,4,4.0,,,,4.0,4.0,4.0,,,,All Rounder,All Rounder,,,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,,,JAI,JAI,,,,JAI,JAI,JAI,,,,Jaipur Pink Panthers,Jaipur Pink Panthers,,,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,,,94,36.0,,,,59.0,67.0,53.0,,,,2,1.0,,,,2.0,1.0,0.5,,,,0.5,0.25,,,,0.5,0.25,0.125,,,,3,3.0,,,,3.0,3.0,3.0,,,,0,0.0,,,,0.0,0.0,0.0
,,,Somvir Shekhar,Somvir Shekhar,,,,Somvir Shekhar,Somvir Shekhar,Somvir Shekhar,,,,16,16.0,,,,16.0,16.0,16.0,,,,Defender,Defender,,,,Defender,Defender,Defender,,,,,,,,,,,,,,,PUN,PUN,,,,PUN,PUN,PUN,,,,Puneri Paltan,Puneri Paltan,,,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,,,48,37.0,,,,23.0,21.0,33.0,,,,22,1.0,,,,22.0,21.0,1.38,,,,1.375,0.0625,,,,1.375,1.3125,0.08625,,,,7,7.0,,,,7.0,7.0,7.0,,,,9,9.0,,,,9.0,9.0,9.0
,Sukesh Hegde,Sukesh Hegde,Sukesh Hegde,,Sukesh Hegde,,,,,,,9.0,9.0,9,,9.0,,,,,,,Raider,Raider,Raider,,Raider,,,,,,,,,,,,,,,,,,HYD,HYD,HYD,,HYD,,,,,,,Telugu Titans,Telugu Titans,Telugu Titans,,Telugu Titans,,,,,,,46.0,46.0,77,,31.0,,,,,,,7.0,5.0,7,,5.0,,,,,,,0.7777777777777778,0.5555555555555556,0.7777777777777778,,0.5555555555555556,,,,,,,8.0,8.0,8,,8.0,,,,,,,8.0,8.0,8,,8.0,,,,,
,Surjeet Narwal,Surjeet Narwal,Surjeet Narwal,,Surjeet Narwal,,,Surjeet Narwal,Surjeet Narwal,Surjeet Narwal,,5.0,5.0,5,,5.0,,,5.0,5.0,5.0,,Raider,Raider,Raider,,Raider,,,Raider,Raider,Raider,,,,,,,,,,,,,KOL,KOL,KOL,,KOL,,,KOL,KOL,KOL,,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,Bengal Warriors,,47.0,44.0,67,,41.0,,,50.0,44.0,44.0,,7.0,6.0,11,,2.0,,,4.0,4.0,0.8,,1.4,1.2,2.2,,0.4,,,0.8,0.8,0.16,,4.0,4.0,4,,4.0,,,4.0,4.0,4.0,,8.0,8.0,8,,8.0,,,8.0,8.0,8.0
Surjeet Singh,Surjeet Singh,Surjeet Singh,Surjeet Singh,,Surjeet Singh,,,Surjeet Singh,Surjeet Singh,Surjeet Singh,10.0,10.0,10.0,10,,10.0,,,10.0,10.0,10.0,Raider,Raider,Raider,Raider,,Raider,,,Raider,Raider,Raider,,,,,,,,,,,,PAT,PAT,PAT,PAT,,PAT,,,PAT,PAT,PAT,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,Patna Pirates,,,Patna Pirates,Patna Pirates,Patna Pirates,24.0,20.0,21.0,32,,32.0,,,51.0,45.0,58.0,1.0,33.0,27.0,37,,5.0,,,4.0,4.0,0.4,0.1,3.3,2.7,3.7,,0.5,,,0.4,0.4,0.04,6.0,6.0,6.0,6,,6.0,,,6.0,6.0,6.0,8.0,8.0,8.0,8,,8.0,,,8.0,8.0,8.0
,,,Vishal Mane,Vishal Mane,,,Vishal Mane,Vishal Mane,Vishal Mane,Vishal Mane,,,,14,14.0,,,14.0,14.0,14.0,14.0,,,,Defender,Defender,,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,,KOL,KOL,,,KOL,KOL,KOL,KOL,,,,Bengal Warriors,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,,,39,13.0,,,11.0,14.0,15.0,15.0,,,,31,3.0,,,2.0,31.0,28.0,2.21,,,,2.2142857142857144,0.2142857142857142,,,0.1428571428571428,2.2142857142857144,2.0,0.1578571428571428,,,,4,4.0,,,4.0,4.0,4.0,4.0,,,,9,9.0,,,9.0,9.0,9.0,9.0
,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,,,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,,16.0,16.0,16,16.0,,,16.0,16.0,16.0,16.0,,All Rounder,All Rounder,All Rounder,All Rounder,,,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,HYD,HYD,HYD,HYD,,,HYD,HYD,HYD,HYD,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,24.0,23.0,13,22.0,,,7.0,6.0,5.0,11.0,,24.0,20.0,66,2.0,,,3.0,42.0,40.0,2.63,,1.5,1.25,4.125,0.125,,,0.1875,2.625,2.5,0.164375,,8.0,8.0,8,8.0,,,8.0,8.0,8.0,8.0,,0.0,0.0,0,0.0,,,0.0,0.0,0.0,0.0
,Surender Nada,Surender Nada,Surender Nada,Surender Nada,,,Surender Nada,Surender Nada,Surender Nada,Surender Nada,,13.0,13.0,13,13.0,,,13.0,13.0,13.0,13.0,,Defender,Defender,Defender,Defender,,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,BLR,BLR,BLR,BLR,,,BLR,BLR,BLR,BLR,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,53.0,54.0,31,8.0,,,18.0,13.0,13.0,12.0,,4.0,3.0,37,4.0,,,1.0,33.0,29.0,2.54,,0.3076923076923077,0.2307692307692307,2.8461538461538463,0.3076923076923077,,,0.0769230769230769,2.5384615384615383,2.230769230769231,0.1953846153846153,,1.0,1.0,1,1.0,,,1.0,1.0,1.0,1.0,,9.0,9.0,9,9.0,,,9.0,9.0,9.0,9.0
,,,Prashant Chavan,,,,,Prashant Chavan,Prashant Chavan,Prashant Chavan,,,,9,,,,,9.0,9.0,9.0,,,,Defender,,,,,Defender,Defender,Defender,,,,,,,,,,,,,,,DEL,,,,,DEL,DEL,DEL,,,,Dabang Delhi K.C.,,,,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,,,70,,,,,37.0,33.0,36.0,,,,10,,,,,10.0,10.0,1.11,,,,1.1111111111111112,,,,,1.1111111111111112,1.1111111111111112,0.1233333333333333,,,,2,,,,,2.0,2.0,2.0,,,,9,,,,,9.0,9.0,9.0
Parmod Narwal,Parmod Narwal,Parmod Narwal,Parmod Narwal,,Parmod Narwal,,,Parmod Narwal,Parmod Narwal,Parmod Narwal,8.0,8.0,8.0,8,,8.0,,,8.0,8.0,8.0,All Rounder,All Rounder,All Rounder,All Rounder,,All Rounder,,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,PUN,PUN,PUN,PUN,,PUN,,,PUN,PUN,PUN,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,Puneri Paltan,,,Puneri Paltan,Puneri Paltan,Puneri Paltan,25.0,44.0,55.0,71,,53.0,,,78.0,68.0,75.0,1.0,8.0,3.0,9,,1.0,,,1.0,1.0,0.13,0.125,1.0,0.375,1.125,,0.125,,,0.125,0.125,0.01625,7.0,7.0,7.0,7,,7.0,,,7.0,7.0,7.0,0.0,0.0,0.0,0,,0.0,,,0.0,0.0,0.0
,,,D. Gopu,D. Gopu,,,D. Gopu,D. Gopu,D. Gopu,D. Gopu,,,,5,5.0,,,5.0,5.0,5.0,5.0,,,,Defender,Defender,,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,,DEL,DEL,,,DEL,DEL,DEL,DEL,,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,,,76,20.0,,,19.0,40.0,43.0,32.0,,,,7,2.0,,,1.0,7.0,5.0,1.4,,,,1.4,0.4,,,0.2,1.4,1.0,0.2799999999999999,,,,2,2.0,,,2.0,2.0,2.0,2.0,,,,9,9.0,,,9.0,9.0,9.0,9.0
Prashanth Kumar Rai,Prashanth Kumar Rai,Prashanth Kumar Rai,Prashanth Kumar Rai,,Prashanth Kumar Rai,Prashanth Kumar Rai,,,,,9.0,9.0,9.0,9,,9.0,9.0,,,,,Raider,Raider,Raider,Raider,,Raider,Raider,,,,,,,,,,,,,,,,DEL,DEL,DEL,DEL,,DEL,DEL,,,,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,,,11.0,29.0,30.0,51,,18.0,13.0,,,,,2.0,19.0,12.0,19,,12.0,1.0,,,,,0.2222222222222222,2.111111111111111,1.3333333333333333,2.111111111111111,,1.3333333333333333,0.1111111111111111,,,,,2.0,2.0,2.0,2,,2.0,2.0,,,,,8.0,8.0,8.0,8,,8.0,8.0,,,,
,Pawan Kumar Kadian,Pawan Kumar Kadian,Pawan Kumar Kadian,,Pawan Kumar Kadian,,,Pawan Kumar Kadian,Pawan Kumar Kadian,Pawan Kumar Kadian,,9.0,9.0,9,,9.0,,,9.0,9.0,9.0,,Raider,Raider,Raider,,Raider,,,Raider,Raider,Raider,,,,,,,,,,,,,BLR,BLR,BLR,,BLR,,,BLR,BLR,BLR,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,27.0,29.0,49,,22.0,,,79.0,69.0,76.0,,20.0,15.0,21,,9.0,,,1.0,1.0,0.11,,2.2222222222222223,1.6666666666666667,2.3333333333333335,,1.0,,,0.1111111111111111,0.1111111111111111,0.0122222222222222,,1.0,1.0,1,,1.0,,,1.0,1.0,1.0,,8.0,8.0,8,,8.0,,,8.0,8.0,8.0
,,,Ravinder Pahal,Ravinder Pahal,,,Ravinder Pahal,Ravinder Pahal,Ravinder Pahal,Ravinder Pahal,,,,14,14.0,,,14.0,14.0,14.0,14.0,,,,Defender,Defender,,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,,PUN,PUN,,,PUN,PUN,PUN,PUN,,,,Puneri Paltan,Puneri Paltan,,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,,,29,21.0,,,8.0,8.0,8.0,9.0,,,,37,2.0,,,3.0,37.0,35.0,2.64,,,,2.642857142857143,0.1428571428571428,,,0.2142857142857142,2.642857142857143,2.5,0.1885714285714285,,,,7,7.0,,,7.0,7.0,7.0,7.0,,,,9,9.0,,,9.0,9.0,9.0,9.0
,Ran Singh,Ran Singh,Ran Singh,Ran Singh,,,,Ran Singh,Ran Singh,Ran Singh,,16.0,16.0,16,16.0,,,,16.0,16.0,16.0,,All Rounder,All Rounder,All Rounder,All Rounder,,,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,JAI,JAI,JAI,JAI,,,,JAI,JAI,JAI,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,50.0,50.0,37,34.0,,,,16.0,16.0,23.0,,5.0,4.0,33,1.0,,,,28.0,27.0,1.75,,0.3125,0.25,2.0625,0.0625,,,,1.75,1.6875,0.109375,,3.0,3.0,3,3.0,,,,3.0,3.0,3.0,,0.0,0.0,0,0.0,,,,0.0,0.0,0.0
,,,Girish Maruti Ernak,Girish Maruti Ernak,,,Girish Maruti Ernak,Girish Maruti Ernak,Girish Maruti Ernak,Girish Maruti Ernak,,,,12,12.0,,,12.0,12.0,12.0,12.0,,,,Defender,Defender,,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,,KOL,KOL,,,KOL,KOL,KOL,KOL,,,,Bengal Warriors,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,,,43,23.0,,,16.0,20.0,20.0,18.0,,,,25,2.0,,,1.0,25.0,23.0,2.08,,,,2.0833333333333335,0.1666666666666666,,,0.0833333333333333,2.0833333333333335,1.9166666666666667,0.1733333333333333,,,,4,4.0,,,4.0,4.0,4.0,4.0,,,,9,9.0,,,9.0,9.0,9.0,9.0
,,,D. Suresh Kumar,,,,,D. Suresh Kumar,D. Suresh Kumar,D. Suresh Kumar,,,,14,,,,,14.0,14.0,14.0,,,,Defender,,,,,Defender,Defender,Defender,,,,,,,,,,,,,,,DEL,,,,,DEL,DEL,DEL,,,,Dabang Delhi K.C.,,,,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,,,52,,,,,24.0,23.0,34.0,,,,19,,,,,19.0,19.0,1.36,,,,1.3571428571428572,,,,,1.3571428571428572,1.3571428571428572,0.0971428571428571,,,,2,,,,,2.0,2.0,2.0,,,,9,,,,,9.0,9.0,9.0
,,,Bajirao Hodage,Bajirao Hodage,,,Bajirao Hodage,Bajirao Hodage,Bajirao Hodage,Bajirao Hodage,,,,14,14.0,,,14.0,14.0,14.0,14.0,,,,Defender,Defender,,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,,PAT,PAT,,,PAT,PAT,PAT,PAT,,,,Patna Pirates,Patna Pirates,,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,,,46,24.0,,,17.0,22.0,22.0,28.0,,,,22,2.0,,,1.0,22.0,20.0,1.57,,,,1.5714285714285714,0.1428571428571428,,,0.0714285714285714,1.5714285714285714,1.4285714285714286,0.1121428571428571,,,,6,6.0,,,6.0,6.0,6.0,6.0,,,,9,9.0,,,9.0,9.0,9.0,9.0
,,,Sachin Shingade,Sachin Shingade,,,Sachin Shingade,Sachin Shingade,Sachin Shingade,Sachin Shingade,,,,14,14.0,,,14.0,14.0,14.0,14.0,,,,Defender,Defender,,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,,DEL,DEL,,,DEL,DEL,DEL,DEL,,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,,,25,4.0,,,4.0,5.0,6.0,5.0,,,,44,5.0,,,4.0,44.0,39.0,3.14,,,,3.142857142857143,0.3571428571428571,,,0.2857142857142857,3.142857142857143,2.7857142857142856,0.2242857142857142,,,,2,2.0,,,2.0,2.0,2.0,2.0,,,,9,9.0,,,9.0,9.0,9.0,9.0
,,,Preetam Chhillar,,,,,Preetam Chhillar,Preetam Chhillar,Preetam Chhillar,,,,8,,,,,8.0,8.0,8.0,,,,All Rounder,,,,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,,,PUN,,,,,PUN,PUN,PUN,,,,Puneri Paltan,,,,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,,,97,,,,,60.0,58.0,64.0,,,,2,,,,,2.0,2.0,0.25,,,,0.25,,,,,0.25,0.25,0.03125,,,,7,,,,,7.0,7.0,7.0,,,,0,,,,,0.0,0.0,0.0
,Vinoth Kumar,Vinoth Kumar,Vinoth Kumar,,Vinoth Kumar,,,,,,,3.0,3.0,3,,3.0,,,,,,,Raider,Raider,Raider,,Raider,,,,,,,,,,,,,,,,,,HYD,HYD,HYD,,HYD,,,,,,,Telugu Titans,Telugu Titans,Telugu Titans,,Telugu Titans,,,,,,,41.0,40.0,74,,40.0,,,,,,,8.0,7.0,8,,2.0,,,,,,,2.6666666666666665,2.3333333333333335,2.6666666666666665,,0.6666666666666666,,,,,,,8.0,8.0,8,,8.0,,,,,,,8.0,8.0,8,,8.0,,,,,
,Suresu Kumar,Suresu Kumar,Suresu Kumar,,Suresu Kumar,,,Suresu Kumar,Suresu Kumar,Suresu Kumar,,11.0,11.0,11,,11.0,,,11.0,11.0,11.0,,Raider,Raider,Raider,,Raider,,,Raider,Raider,Raider,,,,,,,,,,,,,MUM,MUM,MUM,,MUM,,,MUM,MUM,MUM,,U Mumba,U Mumba,U Mumba,,U Mumba,,,U Mumba,U Mumba,U Mumba,,28.0,28.0,45,,19.0,,,54.0,55.0,63.0,,20.0,15.0,23,,12.0,,,3.0,3.0,0.27,,1.818181818181818,1.3636363636363635,2.090909090909091,,1.0909090909090908,,,0.2727272727272727,0.2727272727272727,0.0245454545454545,,5.0,5.0,5,,5.0,,,5.0,5.0,5.0,,8.0,8.0,8,,8.0,,,8.0,8.0,8.0
Deepak Kumar Dahiya,Deepak Kumar Dahiya,Deepak Kumar Dahiya,Deepak Kumar Dahiya,,Deepak Kumar Dahiya,,,Deepak Kumar Dahiya,Deepak Kumar Dahiya,Deepak Kumar Dahiya,7.0,7.0,7.0,7,,7.0,,,7.0,7.0,7.0,Raider,Raider,Raider,Raider,,Raider,,,Raider,Raider,Raider,,,,,,,,,,,,BLR,BLR,BLR,BLR,,BLR,,,BLR,BLR,BLR,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,16.0,38.0,37.0,60,,30.0,,,77.0,78.0,71.0,1.0,12.0,8.0,13,,5.0,,,1.0,1.0,0.14,0.1428571428571428,1.7142857142857142,1.1428571428571428,1.8571428571428572,,0.7142857142857143,,,0.1428571428571428,0.1428571428571428,0.02,1.0,1.0,1.0,1,,1.0,,,1.0,1.0,1.0,8.0,8.0,8.0,8,,8.0,,,8.0,8.0,8.0
,,,Vijin Thangadurai,,,,,Vijin Thangadurai,Vijin Thangadurai,Vijin Thangadurai,,,,9,,,,,9.0,9.0,9.0,,,,Defender,,,,,Defender,Defender,Defender,,,,,,,,,,,,,,,PAT,,,,,PAT,PAT,PAT,,,,Patna Pirates,,,,,Patna Pirates,Patna Pirates,Patna Pirates,,,,96,,,,,61.0,59.0,67.0,,,,2,,,,,2.0,2.0,0.22,,,,0.2222222222222222,,,,,0.2222222222222222,0.2222222222222222,0.0244444444444444,,,,6,,,,,6.0,6.0,6.0,,,,9,,,,,9.0,9.0,9.0
,Sonu Narwal,Sonu Narwal,Sonu Narwal,,Sonu Narwal,,,,,,,11.0,11.0,11,,11.0,,,,,,,Raider,Raider,Raider,,Raider,,,,,,,,,,,,,,,,,,PUN,PUN,PUN,,PUN,,,,,,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,Puneri Paltan,,,,,,,22.0,22.0,38,,42.0,,,,,,,32.0,25.0,32,,2.0,,,,,,,2.909090909090909,2.272727272727273,2.909090909090909,,0.1818181818181818,,,,,,,7.0,7.0,7,,7.0,,,,,,,8.0,8.0,8,,8.0,,,,,
,,,C. Arun,C. Arun,,,,C. Arun,C. Arun,C. Arun,,,,14,14.0,,,,14.0,14.0,14.0,,,,Defender,Defender,,,,Defender,Defender,Defender,,,,,,,,,,,,,,,KOL,KOL,,,,KOL,KOL,KOL,,,,Bengal Warriors,Bengal Warriors,,,,Bengal Warriors,Bengal Warriors,Bengal Warriors,,,,59,30.0,,,,29.0,28.0,37.0,,,,15,1.0,,,,15.0,14.0,1.07,,,,1.0714285714285714,0.0714285714285714,,,,1.0714285714285714,1.0,0.0764285714285714,,,,4,4.0,,,,4.0,4.0,4.0,,,,9,9.0,,,,9.0,9.0,9.0
,Joginder Singh Narwal,Joginder Singh Narwal,Joginder Singh Narwal,Joginder Singh Narwal,Joginder Singh Narwal,,,Joginder Singh Narwal,Joginder Singh Narwal,Joginder Singh Narwal,,16.0,16.0,16,16.0,16.0,,,16.0,16.0,16.0,,Defender,Defender,Defender,Defender,Defender,,,Defender,Defender,Defender,,,,,,,,,,,,,PUN,PUN,PUN,PUN,PUN,,,PUN,PUN,PUN,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,56.0,53.0,28,25.0,52.0,,,11.0,10.0,17.0,,4.0,3.0,38,2.0,1.0,,,34.0,32.0,2.13,,0.25,0.1875,2.375,0.125,0.0625,,,2.125,2.0,0.133125,,7.0,7.0,7,7.0,7.0,,,7.0,7.0,7.0,,9.0,9.0,9,9.0,9.0,,,9.0,9.0,9.0
Pardeep Narwal,Pardeep Narwal,Pardeep Narwal,Pardeep Narwal,Pardeep Narwal,Pardeep Narwal,Pardeep Narwal,,Pardeep Narwal,Pardeep Narwal,Pardeep Narwal,16.0,16.0,16.0,16,16.0,16.0,16.0,,16.0,16.0,16.0,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,,,,,,,,,,,,PAT,PAT,PAT,PAT,PAT,PAT,PAT,,PAT,PAT,PAT,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,4.0,2.0,3.0,2,29.0,7.0,2.0,,62.0,77.0,72.0,3.0,131.0,100.0,133,1.0,23.0,5.0,,2.0,1.0,0.13,0.1875,8.1875,6.25,8.3125,0.0625,1.4375,0.3125,,0.125,0.0625,0.008125,6.0,6.0,6.0,6,6.0,6.0,6.0,,6.0,6.0,6.0,8.0,8.0,8.0,8,8.0,8.0,8.0,,8.0,8.0,8.0
,Ashish Kumar,Ashish Kumar,Ashish Kumar,Ashish Kumar,Ashish Kumar,,Ashish Kumar,Ashish Kumar,Ashish Kumar,Ashish Kumar,,14.0,14.0,14,14.0,14.0,,14.0,14.0,14.0,14.0,,Defender,Defender,Defender,Defender,Defender,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,BLR,BLR,BLR,BLR,BLR,,BLR,BLR,BLR,BLR,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,33.0,33.0,30,3.0,29.0,,15.0,21.0,26.0,26.0,,14.0,11.0,37,6.0,5.0,,1.0,23.0,17.0,1.64,,1.0,0.7857142857142857,2.642857142857143,0.4285714285714285,0.3571428571428571,,0.0714285714285714,1.6428571428571428,1.2142857142857142,0.1171428571428571,,1.0,1.0,1,1.0,1.0,,1.0,1.0,1.0,1.0,,9.0,9.0,9,9.0,9.0,,9.0,9.0,9.0,9.0
