season,team_name,player-id-pkdc,player-id-pkdc-sanitised,Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful
PKL-06,Telugu Titans,567,567,Mohsen Maghsoudlou,4,2100%,19.00%,47.60%,14.30%
PKL-06,Telugu Titans,567,567,Mohsen Maghsoudlou,5,2300%,21.00%,65.20%,13.00%
PKL-06,Telugu Titans,567,567,Mohsen Maghsoudlou,6,2300%,21.00%,52.20%,34.80%
PKL-06,Telugu Titans,567,567,Mohsen Maghsoudlou,7,3700%,33.00%,51.40%,29.70%
PKL-06,Telugu Titans,293,293,Nilesh Salunke,1,100%,0%,,100.00%
PKL-06,Telugu Titans,293,293,Nilesh Salunke,2,400%,2.00%,25.00%,25.00%
PKL-06,Telugu Titans,293,293,Nilesh Salunke,3,1000%,5.00%,60.00%,
PKL-06,Telugu Titans,293,293,Nilesh Salunke,4,2700%,13.00%,59.30%,11.10%
PKL-06,Telugu Titans,293,293,Nilesh Salunke,5,4100%,20.00%,56.10%,17.10%
PKL-06,Telugu Titans,293,293,Nilesh Salunke,6,5000%,25.00%,36.00%,44.00%
PKL-06,Telugu Titans,293,293,Nilesh Salunke,7,6800%,34.00%,33.80%,39.70%
PKL-06,Telugu Titans,81,81,Rahul Chaudhari,1,500%,1%,,100.00%
PKL-06,Telugu Titans,81,81,Rahul Chaudhari,2,1800%,5.00%,5.60%,77.80%
PKL-06,Telugu Titans,81,81,Rahul Chaudhari,3,2500%,7.00%,24.00%,48.00%
PKL-06,Telugu Titans,81,81,Rahul Chaudhari,4,4300%,12.00%,44.20%,20.90%
PKL-06,Telugu Titans,81,81,Rahul Chaudhari,5,5700%,16.00%,42.10%,22.80%
PKL-06,Telugu Titans,81,81,Rahul Chaudhari,6,8300%,24.00%,43.40%,48.20%
PKL-06,Telugu Titans,81,81,Rahul Chaudhari,7,11900%,34.00%,31.90%,38.70%
PKL-06,Telugu Titans,2290,2290,Rajnish ,4,300%,12.00%,66.70%,33.30%
PKL-06,Telugu Titans,2290,2290,Rajnish ,5,600%,23.00%,50.00%,
PKL-06,Telugu Titans,2290,2290,Rajnish ,6,400%,15.00%,25.00%,25.00%
PKL-06,Telugu Titans,2290,2290,Rajnish ,7,1300%,50.00%,30.80%,46.20%
PKL-06,Telugu Titans,3090,3090,Rakshith ,4,400%,10%,,25.00%
PKL-06,Telugu Titans,3090,3090,Rakshith ,5,500%,13.00%,40.00%,20.00%
PKL-06,Telugu Titans,3090,3090,Rakshith ,6,1100%,28.00%,27.30%,27.30%
PKL-06,Telugu Titans,3090,3090,Rakshith ,7,1900%,49.00%,31.60%,36.80%
PKL-06,Telugu Titans,3083,3083,Vishal Bharadwaj,3,400%,10.00%,100.00%,
PKL-06,Telugu Titans,3083,3083,Vishal Bharadwaj,4,200%,5.00%,100.00%,
PKL-06,Telugu Titans,3083,3083,Vishal Bharadwaj,5,2000%,50.00%,100.00%,
PKL-06,Telugu Titans,3083,3083,Vishal Bharadwaj,6,500%,13.00%,100.00%,
PKL-06,Telugu Titans,3083,3083,Vishal Bharadwaj,7,900%,23.00%,100.00%,
PKL-06,Jaipur Pink Panthers,3097,3097,Ajinkya Ashok Pawar,2,700%,4.00%,14.30%,57.10%
PKL-06,Jaipur Pink Panthers,3097,3097,Ajinkya Ashok Pawar,3,1300%,8.00%,23.10%,61.50%
PKL-06,Jaipur Pink Panthers,3097,3097,Ajinkya Ashok Pawar,4,2200%,13.00%,45.50%,36.40%
PKL-06,Jaipur Pink Panthers,3097,3097,Ajinkya Ashok Pawar,5,3800%,23.00%,34.20%,34.20%
PKL-06,Jaipur Pink Panthers,3097,3097,Ajinkya Ashok Pawar,6,2800%,17.00%,32.10%,35.70%
PKL-06,Jaipur Pink Panthers,3097,3097,Ajinkya Ashok Pawar,7,5500%,34.00%,45.50%,29.10%
PKL-06,Jaipur Pink Panthers,3056,3056,Ajit Singh,4,300%,16.00%,33.30%,33.30%
PKL-06,Jaipur Pink Panthers,3056,3056,Ajit Singh,5,400%,21.00%,75.00%,
PKL-06,Jaipur Pink Panthers,3056,3056,Ajit Singh,6,200%,11%,,50.00%
PKL-06,Jaipur Pink Panthers,3056,3056,Ajit Singh,7,1000%,53.00%,10.00%,50.00%
PKL-06,Jaipur Pink Panthers,3133,3133,Amit Kumar,2,100%,3%,,
