super-10s_player_name,player-tackle-points_player_name,player-super-raids_player_name,player-raid-points_player_name,player-super-tackles_player_name,player-total-points_player_name,high-5s_player_name,player-successful-tackles_player_name,player-avg-tackle-points_player_name,player-successful-raids_player_name,player-dod-raid-points_player_name,super-10s_match_played,player-tackle-points_match_played,player-super-raids_match_played,player-raid-points_match_played,player-super-tackles_match_played,player-total-points_match_played,high-5s_match_played,player-successful-tackles_match_played,player-avg-tackle-points_match_played,player-successful-raids_match_played,player-dod-raid-points_match_played,super-10s_position_name,player-tackle-points_position_name,player-super-raids_position_name,player-raid-points_position_name,player-super-tackles_position_name,player-total-points_position_name,high-5s_position_name,player-successful-tackles_position_name,player-avg-tackle-points_position_name,player-successful-raids_position_name,player-dod-raid-points_position_name,super-10s_team,player-tackle-points_team,player-super-raids_team,player-raid-points_team,player-super-tackles_team,player-total-points_team,high-5s_team,player-successful-tackles_team,player-avg-tackle-points_team,player-successful-raids_team,player-dod-raid-points_team,super-10s_team_name,player-tackle-points_team_name,player-super-raids_team_name,player-raid-points_team_name,player-super-tackles_team_name,player-total-points_team_name,high-5s_team_name,player-successful-tackles_team_name,player-avg-tackle-points_team_name,player-successful-raids_team_name,player-dod-raid-points_team_name,super-10s_team_full_name,player-tackle-points_team_full_name,player-super-raids_team_full_name,player-raid-points_team_full_name,player-super-tackles_team_full_name,player-total-points_team_full_name,high-5s_team_full_name,player-successful-tackles_team_full_name,player-avg-tackle-points_team_full_name,player-successful-raids_team_full_name,player-dod-raid-points_team_full_name,super-10s_rank,player-tackle-points_rank,player-super-raids_rank,player-raid-points_rank,player-super-tackles_rank,player-total-points_rank,high-5s_rank,player-successful-tackles_rank,player-avg-tackle-points_rank,player-successful-raids_rank,player-dod-raid-points_rank,super-10s_value,player-tackle-points_value,player-super-raids_value,player-raid-points_value,player-super-tackles_value,player-total-points_value,high-5s_value,player-successful-tackles_value,player-avg-tackle-points_value,player-successful-raids_value,player-dod-raid-points_value,super-10s_points_per_match,player-tackle-points_points_per_match,player-super-raids_points_per_match,player-raid-points_points_per_match,player-super-tackles_points_per_match,player-total-points_points_per_match,high-5s_points_per_match,player-successful-tackles_points_per_match,player-avg-tackle-points_points_per_match,player-successful-raids_points_per_match,player-dod-raid-points_points_per_match,super-10s_team_id,player-tackle-points_team_id,player-super-raids_team_id,player-raid-points_team_id,player-super-tackles_team_id,player-total-points_team_id,high-5s_team_id,player-successful-tackles_team_id,player-avg-tackle-points_team_id,player-successful-raids_team_id,player-dod-raid-points_team_id,super-10s_position_id,player-tackle-points_position_id,player-super-raids_position_id,player-raid-points_position_id,player-super-tackles_position_id,player-total-points_position_id,high-5s_position_id,player-successful-tackles_position_id,player-avg-tackle-points_position_id,player-successful-raids_position_id,player-dod-raid-points_position_id
,Manjeet Chhillar,,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,,16.0,,16.0,16.0,16,16.0,16.0,16.0,16.0,16.0,,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,BLR,,BLR,BLR,BLR,BLR,BLR,BLR,BLR,BLR,,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,6.0,,6.0,43.0,2,8.0,4.0,9.0,4.0,36.0,,40.0,,67.0,1.0,107,3.0,39.0,2.5,60.0,4.0,,2.5,,4.1875,0.0625,6.6875,0.1875,2.4375,0.15625,3.75,0.25,,1.0,,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,,0.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
,Manoj Kumar,,Manoj Kumar,Manoj Kumar,Manoj Kumar,Manoj Kumar,Manoj Kumar,Manoj Kumar,Manoj Kumar,,,14.0,,14.0,14.0,14,14.0,14.0,14.0,14.0,,,Defender,,Defender,Defender,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,PUN,,PUN,PUN,PUN,PUN,PUN,PUN,PUN,,,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,,25.0,,63.0,4.0,48,30.0,29.0,43.0,67.0,,,17.0,,3.0,4.0,20,1.0,13.0,1.21,2.0,,,1.2142857142857142,,0.2142857142857142,0.2857142857142857,1.4285714285714286,0.0714285714285714,0.9285714285714286,0.0864285714285714,0.1428571428571428,,,7.0,,7.0,7.0,7,7.0,7.0,7.0,7.0,,,9.0,,9.0,9.0,9,9.0,9.0,9.0,9.0,
,Mohit Chhillar,,,Mohit Chhillar,Mohit Chhillar,Mohit Chhillar,Mohit Chhillar,Mohit Chhillar,,,,14.0,,,14.0,14,14.0,14.0,14.0,,,,Defender,,,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,,MUM,,,MUM,MUM,MUM,MUM,MUM,,,,U Mumba,,,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,,,4.0,,,15.0,28,9.0,5.0,4.0,,,,42.0,,,3.0,42,3.0,39.0,3.0,,,,3.0,,,0.2142857142857142,3.0,0.2142857142857142,2.7857142857142856,0.2142857142857142,,,,5.0,,,5.0,5,5.0,5.0,5.0,,,,9.0,,,9.0,9,9.0,9.0,9.0,,
,Navneet Gautam,,,,Navneet Gautam,,Navneet Gautam,Navneet Gautam,,,,7.0,,,,7,,7.0,7.0,,,,Defender,,,,Defender,,Defender,Defender,,,,,,,,,,,,,,,JAI,,,,JAI,,JAI,JAI,,,,Jaipur Pink Panthers,,,,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,,,,99.0,,,,116,,98.0,99.0,,,,1.0,,,,1,,1.0,0.14,,,,0.1428571428571428,,,,0.1428571428571428,,0.1428571428571428,0.02,,,,3.0,,,,3,,3.0,3.0,,,,9.0,,,,9,,9.0,9.0,,
,Nilesh Shinde,,Nilesh Shinde,Nilesh Shinde,Nilesh Shinde,Nilesh Shinde,Nilesh Shinde,Nilesh Shinde,Nilesh Shinde,Nilesh Shinde,,12.0,,12.0,12.0,12,12.0,12.0,12.0,12.0,12.0,,Defender,,Defender,Defender,Defender,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,KOL,,KOL,KOL,KOL,KOL,KOL,KOL,KOL,KOL,,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,17.0,,64.0,3.0,36,28.0,18.0,15.0,72.0,63.0,,27.0,,3.0,6.0,30,1.0,21.0,2.25,1.0,1.0,,2.25,,0.25,0.5,2.5,0.0833333333333333,1.75,0.1875,0.0833333333333333,0.0833333333333333,,4.0,,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,,9.0,,9.0,9.0,9,9.0,9.0,9.0,9.0,9.0
,Nitin More,,,,Nitin More,,Nitin More,Nitin More,,,,3.0,,,,3,,3.0,3.0,,,,Defender,,,,Defender,,Defender,Defender,,,,,,,,,,,,,,,PUN,,,,PUN,,PUN,PUN,,,,Puneri Paltan,,,,Puneri Paltan,,Puneri Paltan,Puneri Paltan,,,,81.0,,,,112,,80.0,64.0,,,,2.0,,,,2,,2.0,0.67,,,,0.6666666666666666,,,,0.6666666666666666,,0.6666666666666666,0.2233333333333333,,,,7.0,,,,7,,7.0,7.0,,,,9.0,,,,9,,9.0,9.0,,
,Pravin Niwale,Pravin Niwale,Pravin Niwale,,Pravin Niwale,,Pravin Niwale,Pravin Niwale,Pravin Niwale,Pravin Niwale,,8.0,8.0,8.0,,8,,8.0,8.0,8.0,8.0,,Raider,Raider,Raider,,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,,PUN,PUN,PUN,,PUN,,PUN,PUN,PUN,PUN,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,97.0,16.0,22.0,,29,,96.0,102.0,22.0,17.0,,1.0,2.0,41.0,,42,,1.0,0.13,30.0,9.0,,0.125,0.25,5.125,,5.25,,0.125,0.01625,3.75,1.125,,7.0,7.0,7.0,,7,,7.0,7.0,7.0,7.0,,8.0,8.0,8.0,,8,,8.0,8.0,8.0,8.0
Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,,Rahul Chaudhari,,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,14.0,14.0,14.0,14.0,,14,,14.0,14.0,14.0,14.0,Raider,Raider,Raider,Raider,,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,HYD,HYD,HYD,HYD,,HYD,,HYD,HYD,HYD,HYD,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,1.0,41.0,2.0,2.0,,3,,40.0,68.0,2.0,15.0,5.0,9.0,6.0,98.0,,107,,9.0,0.64,75.0,11.0,0.3571428571428571,0.6428571428571429,0.4285714285714285,7.0,,7.642857142857143,,0.6428571428571429,0.0457142857142857,5.357142857142857,0.7857142857142857,8.0,8.0,8.0,8.0,,8,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8,,8.0,8.0,8.0,8.0
,Rajaguru Subramanian,,Rajaguru Subramanian,Rajaguru Subramanian,Rajaguru Subramanian,,Rajaguru Subramanian,Rajaguru Subramanian,,,,12.0,,12.0,12.0,12,,12.0,12.0,,,,Defender,,Defender,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,HYD,,HYD,HYD,HYD,,HYD,HYD,,,,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,,,,24.0,,86.0,16.0,52,,25.0,36.0,,,,17.0,,1.0,2.0,18,,15.0,1.42,,,,1.4166666666666667,,0.0833333333333333,0.1666666666666666,1.5,,1.25,0.1183333333333333,,,,8.0,,8.0,8.0,8,,8.0,8.0,,,,9.0,,9.0,9.0,9,,9.0,9.0,,
,Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,,Rajesh Mondal,,Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,,15.0,15.0,15.0,,15,,15.0,15.0,15.0,15.0,,Raider,Raider,Raider,,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,,BLR,BLR,BLR,,BLR,,BLR,BLR,BLR,BLR,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,98.0,17.0,24.0,,35,,97.0,107.0,23.0,9.0,,1.0,1.0,33.0,,34,,1.0,0.07,27.0,18.0,,0.0666666666666666,0.0666666666666666,2.2,,2.2666666666666666,,0.0666666666666666,0.0046666666666666,1.8,1.2,,1.0,1.0,1.0,,1,,1.0,1.0,1.0,1.0,,8.0,8.0,8.0,,8,,8.0,8.0,8.0,8.0
Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,14.0,14.0,14.0,14.0,14.0,14,,14.0,14.0,14.0,14.0,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,JAI,JAI,JAI,JAI,JAI,JAI,,JAI,JAI,JAI,JAI,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,3.0,23.0,6.0,5.0,17.0,5,,24.0,40.0,7.0,12.0,2.0,18.0,3.0,69.0,2.0,87,,16.0,1.29,54.0,14.0,0.1428571428571428,1.2857142857142858,0.2142857142857142,4.928571428571429,0.1428571428571428,6.214285714285714,,1.1428571428571428,0.0921428571428571,3.857142857142857,1.0,3.0,3.0,3.0,3.0,3.0,3,,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0
,Rakesh Kumar,,Rakesh Kumar,,Rakesh Kumar,,Rakesh Kumar,Rakesh Kumar,Rakesh Kumar,Rakesh Kumar,,4.0,,4.0,,4,,4.0,4.0,4.0,4.0,,All Rounder,,All Rounder,,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,PAT,,PAT,,PAT,,PAT,PAT,PAT,PAT,,Patna Pirates,,Patna Pirates,,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,70.0,,37.0,,53,,70.0,61.0,35.0,38.0,,3.0,,14.0,,17,,3.0,0.75,12.0,4.0,,0.75,,3.5,,4.25,,0.75,0.1875,3.0,1.0,,6.0,,6.0,,6,,6.0,6.0,6.0,6.0,,0.0,,0.0,,0,,0.0,0.0,0.0,0.0
,Ravi Dalal,Ravi Dalal,Ravi Dalal,,Ravi Dalal,,Ravi Dalal,Ravi Dalal,Ravi Dalal,Ravi Dalal,,11.0,11.0,11.0,,11,,11.0,11.0,11.0,11.0,,Raider,Raider,Raider,,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,,PAT,PAT,PAT,,PAT,,PAT,PAT,PAT,PAT,,Patna Pirates,Patna Pirates,Patna Pirates,,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,71.0,26.0,19.0,,24,,71.0,88.0,15.0,20.0,,3.0,1.0,44.0,,47,,3.0,0.27,38.0,8.0,,0.2727272727272727,0.0909090909090909,4.0,,4.2727272727272725,,0.2727272727272727,0.0245454545454545,3.4545454545454546,0.7272727272727273,,6.0,6.0,6.0,,6,,6.0,6.0,6.0,6.0,,8.0,8.0,8.0,,8,,8.0,8.0,8.0,8.0
,Rishank Devadiga,,Rishank Devadiga,,Rishank Devadiga,,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,,13.0,,13.0,,13,,13.0,13.0,13.0,13.0,,Raider,,Raider,,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,,MUM,,MUM,,MUM,,MUM,MUM,MUM,MUM,,U Mumba,,U Mumba,,U Mumba,,U Mumba,U Mumba,U Mumba,U Mumba,,27.0,,20.0,,19,,26.0,45.0,17.0,4.0,,14.0,,44.0,,58,,14.0,1.08,36.0,25.0,,1.0769230769230769,,3.3846153846153846,,4.461538461538462,,1.0769230769230769,0.083076923076923,2.769230769230769,1.9230769230769231,,5.0,,5.0,,5,,5.0,5.0,5.0,5.0,,8.0,,8.0,,8,,8.0,8.0,8.0,8.0
,Rohit Rana,,Rohit Rana,,Rohit Rana,Rohit Rana,Rohit Rana,Rohit Rana,Rohit Rana,,,10.0,,10.0,,10,10.0,10.0,10.0,10.0,,,Defender,,Defender,,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,JAI,,JAI,,JAI,JAI,JAI,JAI,JAI,,,Jaipur Pink Panthers,,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,,26.0,,87.0,,54,29.0,23.0,32.0,73.0,,,16.0,,1.0,,17,1.0,16.0,1.6,1.0,,,1.6,,0.1,,1.7,0.1,1.6,0.16,0.1,,,3.0,,3.0,,3,3.0,3.0,3.0,3.0,,,9.0,,9.0,,9,9.0,9.0,9.0,9.0,
,Rupesh Tomar,,Rupesh Tomar,Rupesh Tomar,Rupesh Tomar,,Rupesh Tomar,Rupesh Tomar,Rupesh Tomar,,,6.0,,6.0,6.0,6,,6.0,6.0,6.0,,,All Rounder,,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,,HYD,,HYD,HYD,HYD,,HYD,HYD,HYD,,,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,,,53.0,,62.0,18.0,82,,64.0,47.0,59.0,,,6.0,,4.0,2.0,10,,4.0,1.0,3.0,,,1.0,,0.6666666666666666,0.3333333333333333,1.6666666666666667,,0.6666666666666666,0.1666666666666666,0.5,,,8.0,,8.0,8.0,8,,8.0,8.0,8.0,,,0.0,,0.0,0.0,0,,0.0,0.0,0.0,
,Sachin Khambe,,,Sachin Khambe,Sachin Khambe,Sachin Khambe,Sachin Khambe,Sachin Khambe,,,,8.0,,,8.0,8,8.0,8.0,8.0,,,,Defender,,,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,,KOL,,,KOL,KOL,KOL,KOL,KOL,,,,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,,,19.0,,,5.0,45,11.0,19.0,3.0,,,,24.0,,,4.0,24,2.0,20.0,3.0,,,,3.0,,,0.5,3.0,0.25,2.5,0.375,,,,4.0,,,4.0,4,4.0,4.0,4.0,,,,9.0,,,9.0,9,9.0,9.0,9.0,,
Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,,Shabeer Bappu,,Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,10.0,10.0,10.0,10.0,,10,,10.0,10.0,10.0,10.0,Raider,Raider,Raider,Raider,,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,MUM,MUM,MUM,MUM,,MUM,,MUM,MUM,MUM,MUM,U Mumba,U Mumba,U Mumba,U Mumba,,U Mumba,,U Mumba,U Mumba,U Mumba,U Mumba,15.0,92.0,13.0,17.0,,25,,91.0,104.0,19.0,5.0,1.0,1.0,2.0,46.0,,47,,1.0,0.1,36.0,21.0,0.1,0.1,0.2,4.6,,4.7,,0.1,0.01,3.6,2.1,5.0,5.0,5.0,5.0,,5,,5.0,5.0,5.0,5.0,8.0,8.0,8.0,8.0,,8,,8.0,8.0,8.0,8.0
,Shrikant Tewthia,,Shrikant Tewthia,Shrikant Tewthia,Shrikant Tewthia,,Shrikant Tewthia,Shrikant Tewthia,Shrikant Tewthia,Shrikant Tewthia,,9.0,,9.0,9.0,9,,9.0,9.0,9.0,9.0,,All Rounder,,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,DEL,,DEL,DEL,DEL,,DEL,DEL,DEL,DEL,,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,43.0,,48.0,48.0,49,,43.0,46.0,44.0,49.0,,9.0,,10.0,1.0,19,,8.0,1.0,9.0,3.0,,1.0,,1.1111111111111112,0.1111111111111111,2.111111111111111,,0.8888888888888888,0.1111111111111111,1.0,0.3333333333333333,,2.0,,2.0,2.0,2,,2.0,2.0,2.0,2.0,,0.0,,0.0,0.0,0,,0.0,0.0,0.0,0.0
,Shyam Kumar Sah,,,,Shyam Kumar Sah,Shyam Kumar Sah,Shyam Kumar Sah,Shyam Kumar Sah,,,,7.0,,,,7,7.0,7.0,7.0,,,,Defender,,,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,,KOL,,,,KOL,KOL,KOL,KOL,,,,Bengal Warriors,,,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,,,28.0,,,,69,21.0,27.0,26.0,,,,13.0,,,,13,1.0,13.0,1.86,,,,1.8571428571428572,,,,1.8571428571428572,0.1428571428571428,1.8571428571428572,0.2657142857142857,,,,4.0,,,,4,4.0,4.0,4.0,,,,9.0,,,,9,9.0,9.0,9.0,,
,Somvir Shekhar,,Somvir Shekhar,Somvir Shekhar,Somvir Shekhar,Somvir Shekhar,Somvir Shekhar,Somvir Shekhar,Somvir Shekhar,,,14.0,,14.0,14.0,14,14.0,14.0,14.0,14.0,,,Defender,,Defender,Defender,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,BLR,,BLR,BLR,BLR,BLR,BLR,BLR,BLR,,,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,,11.0,,88.0,24.0,34,3.0,9.0,12.0,74.0,,,34.0,,1.0,2.0,35,4.0,32.0,2.43,1.0,,,2.4285714285714284,,0.0714285714285714,0.1428571428571428,2.5,0.2857142857142857,2.2857142857142856,0.1735714285714285,0.0714285714285714,,,1.0,,1.0,1.0,1,1.0,1.0,1.0,1.0,,,9.0,,9.0,9.0,9,9.0,9.0,9.0,9.0,
,Sukesh Hegde,Sukesh Hegde,Sukesh Hegde,,Sukesh Hegde,,Sukesh Hegde,Sukesh Hegde,Sukesh Hegde,Sukesh Hegde,,13.0,13.0,13.0,,13,,13.0,13.0,13.0,13.0,,Raider,Raider,Raider,,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,,HYD,HYD,HYD,,HYD,,HYD,HYD,HYD,HYD,,Telugu Titans,Telugu Titans,Telugu Titans,,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,85.0,5.0,9.0,,12,,84.0,98.0,11.0,3.0,,2.0,5.0,62.0,,64,,2.0,0.15,44.0,26.0,,0.1538461538461538,0.3846153846153846,4.769230769230769,,4.923076923076923,,0.1538461538461538,0.0115384615384615,3.3846153846153846,2.0,,8.0,8.0,8.0,,8,,8.0,8.0,8.0,8.0,,8.0,8.0,8.0,,8,,8.0,8.0,8.0,8.0
,Vishal Mane,,,,Vishal Mane,Vishal Mane,Vishal Mane,Vishal Mane,,,,14.0,,,,14,14.0,14.0,14.0,,,,Defender,,,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,,MUM,,,,MUM,MUM,MUM,MUM,,,,U Mumba,,,,U Mumba,U Mumba,U Mumba,U Mumba,,,,18.0,,,,42,22.0,17.0,25.0,,,,26.0,,,,26,1.0,26.0,1.86,,,,1.8571428571428572,,,,1.8571428571428572,0.0714285714285714,1.8571428571428572,0.1328571428571428,,,,5.0,,,,5,5.0,5.0,5.0,,,,9.0,,,,9,9.0,9.0,9.0,,
Wazir Singh,Wazir Singh,Wazir Singh,Wazir Singh,,Wazir Singh,,Wazir Singh,Wazir Singh,Wazir Singh,Wazir Singh,11.0,11.0,11.0,11.0,,11,,11.0,11.0,11.0,11.0,Raider,Raider,Raider,Raider,,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,PUN,PUN,PUN,PUN,,PUN,,PUN,PUN,PUN,PUN,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,6.0,84.0,14.0,7.0,,11,,83.0,96.0,9.0,22.0,2.0,2.0,2.0,65.0,,67,,2.0,0.18,48.0,7.0,0.1818181818181818,0.1818181818181818,0.1818181818181818,5.909090909090909,,6.090909090909091,,0.1818181818181818,0.0163636363636363,4.363636363636363,0.6363636363636364,7.0,7.0,7.0,7.0,,7,,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,,8,,8.0,8.0,8.0,8.0
,Sunil Jaipal,Sunil Jaipal,Sunil Jaipal,Sunil Jaipal,Sunil Jaipal,,Sunil Jaipal,Sunil Jaipal,Sunil Jaipal,Sunil Jaipal,,10.0,10.0,10.0,10.0,10,,10.0,10.0,10.0,10.0,,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,,KOL,KOL,KOL,KOL,KOL,,KOL,KOL,KOL,KOL,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,54.0,15.0,23.0,25.0,30,,65.0,74.0,24.0,21.0,,6.0,2.0,34.0,2.0,40,,4.0,0.6,24.0,8.0,,0.6,0.2,3.4,0.2,4.0,,0.4,0.06,2.4,0.8,,4.0,4.0,4.0,4.0,4,,4.0,4.0,4.0,4.0,,8.0,8.0,8.0,8.0,8,,8.0,8.0,8.0,8.0
,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,,16.0,16.0,16.0,16.0,16,16.0,16.0,16.0,16.0,16.0,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,PAT,PAT,PAT,PAT,PAT,PAT,PAT,PAT,PAT,PAT,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,8.0,23.0,18.0,14.0,6,13.0,7.0,14.0,18.0,26.0,,37.0,1.0,46.0,3.0,83,2.0,34.0,2.31,36.0,6.0,,2.3125,0.0625,2.875,0.1875,5.1875,0.125,2.125,0.144375,2.25,0.375,,6.0,6.0,6.0,6.0,6,6.0,6.0,6.0,6.0,6.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
,Surender Nada,,Surender Nada,Surender Nada,Surender Nada,Surender Nada,Surender Nada,Surender Nada,Surender Nada,Surender Nada,,14.0,,14.0,14.0,14,14.0,14.0,14.0,14.0,14.0,,Defender,,Defender,Defender,Defender,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,MUM,,MUM,MUM,MUM,MUM,MUM,MUM,MUM,MUM,,U Mumba,,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,5.0,,67.0,21.0,27,4.0,6.0,5.0,66.0,67.0,,41.0,,3.0,2.0,44,4.0,39.0,2.93,2.0,1.0,,2.9285714285714284,,0.2142857142857142,0.1428571428571428,3.142857142857143,0.2857142857142857,2.7857142857142856,0.2092857142857143,0.1428571428571428,0.0714285714285714,,5.0,,5.0,5.0,5,5.0,5.0,5.0,5.0,5.0,,9.0,,9.0,9.0,9,9.0,9.0,9.0,9.0,9.0
,Prashant Chavan,,,Prashant Chavan,Prashant Chavan,,Prashant Chavan,Prashant Chavan,,,,11.0,,,11.0,11,,11.0,11.0,,,,Defender,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,JAI,,,JAI,JAI,,JAI,JAI,,,,Jaipur Pink Panthers,,,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,,,,34.0,,,22.0,80,,41.0,48.0,,,,11.0,,,2.0,11,,9.0,1.0,,,,1.0,,,0.1818181818181818,1.0,,0.8181818181818182,0.0909090909090909,,,,3.0,,,3.0,3,,3.0,3.0,,,,9.0,,,9.0,9,,9.0,9.0,,
,D. Gopu,,,,D. Gopu,,D. Gopu,D. Gopu,,,,7.0,,,,7,,7.0,7.0,,,,Defender,,,,Defender,,Defender,Defender,,,,,,,,,,,,,,,HYD,,,,HYD,,HYD,HYD,,,,Telugu Titans,,,,Telugu Titans,,Telugu Titans,Telugu Titans,,,,42.0,,,,87,,42.0,41.0,,,,9.0,,,,9,,9.0,1.29,,,,1.2857142857142858,,,,1.2857142857142858,,1.2857142857142858,0.1842857142857143,,,,8.0,,,,8,,8.0,8.0,,,,9.0,,,,9,,9.0,9.0,,
