,Player_Name,Tournament,Team,Price,Status
160,chandran ranjit,Pro Kabaddi Season 8,Jaipur Pink Panthers,20.00 L,SOLD
161,chandran ranjit,Pro Kabaddi Season 7,Haryana Steelers,38.50 L,SOLD
162,chandran ranjit,Pro Kabaddi Season 6,U Mumba,46.00 L,SOLD
163,chandran ranjit,Pro Kabaddi Season 5,Puneri Paltan,46.00 L,SOLD
164,chandran ranjit,Pro Kabaddi Season 4,Patna Pirates,29.00 L,SOLD
165,vishal bharadwaj,Pro Kabaddi Season 8,Jaipur Pink Panthers,20.00 L,SOLD
166,vishal bharadwaj,Pro Kabaddi Season 7,Haryana Steelers,38.50 L,SOLD
167,vishal bharadwaj,Pro Kabaddi Season 6,U Mumba,46.00 L,SOLD
168,vishal bharadwaj,Pro Kabaddi Season 5,Puneri Paltan,46.00 L,SOLD
169,vishal bharadwaj,Pro Kabaddi Season 4,Patna Pirates,29.00 L,SOLD
170,rajesh narwal,Pro Kabaddi Season 8,Jaipur Pink Panthers,20.00 L,SOLD
171,rajesh narwal,Pro Kabaddi Season 7,Haryana Steelers,38.50 L,SOLD
172,rajesh narwal,Pro Kabaddi Season 6,U Mumba,46.00 L,SOLD
173,rajesh narwal,Pro Kabaddi Season 5,Puneri Paltan,46.00 L,SOLD
174,rajesh narwal,Pro Kabaddi Season 4,Patna Pirates,29.00 L,SOLD
175,prashanth kumar rai,Pro Kabaddi Season 8,Jaipur Pink Panthers,20.00 L,SOLD
176,prashanth kumar rai,Pro Kabaddi Season 7,Haryana Steelers,38.50 L,SOLD
177,prashanth kumar rai,Pro Kabaddi Season 6,U Mumba,46.00 L,SOLD
178,prashanth kumar rai,Pro Kabaddi Season 5,Puneri Paltan,46.00 L,SOLD
179,prashanth kumar rai,Pro Kabaddi Season 4,Patna Pirates,29.00 L,SOLD
180,vijay,Pro Kabaddi Season 8,Jaipur Pink Panthers,20.00 L,SOLD
181,vijay,Pro Kabaddi Season 7,Haryana Steelers,38.50 L,SOLD
182,vijay,Pro Kabaddi Season 6,U Mumba,46.00 L,SOLD
183,vijay,Pro Kabaddi Season 5,Puneri Paltan,46.00 L,SOLD
184,vijay,Pro Kabaddi Season 4,Patna Pirates,29.00 L,SOLD
