Player_Name,Tournament,Team,Price,Status
Prashanth Kumar Rai,Pro Kabaddi Season 4,Patna Pirates,29.00 L,SOLD
Vijay,Pro Kabaddi Season 8,Jaipur Pink Panthers,20.00 L,SOLD
Vijay,Pro Kabaddi Season 7,Haryana Steelers,38.50 L,SOLD
Vijay,Pro Kabaddi Season 6,U Mumba,46.00 L,SOLD
Vijay,Pro Kabaddi Season 5,Puneri Paltan,46.00 L,SOLD
Vijay,Pro Kabaddi Season 4,Patna Pirates,29.00 L,SOLD
Dharmaraj Cheralathan,Pro Kabaddi Season 8,Jaipur Pink Panthers,20.00 L,SOLD
Dharmaraj Cheralathan,Pro Kabaddi Season 7,Haryana Steelers,38.50 L,SOLD
Dharmaraj Cheralathan,Pro Kabaddi Season 6,U Mumba,46.00 L,SOLD
Dharmaraj Cheralathan,Pro Kabaddi Season 5,Puneri Paltan,46.00 L,SOLD
Dharmaraj Cheralathan,Pro Kabaddi Season 4,Patna Pirates,29.00 L,SOLD
Mahender Singh,Pro Kabaddi Season 9,Gujarat Giants,20.00 L,RETAINED
Manjeet,Pro Kabaddi Season 9,Gujarat Giants,20.00 L,RETAINED
Jasvir Singh,Pro Kabaddi Season 9,Gujarat Giants,20.00 L,RETAINED
Surender Gill,Pro Kabaddi Season 9,Gujarat Giants,20.00 L,RETAINED
Meetu Mahender Sharma,Pro Kabaddi Season 9,Gujarat Giants,20.00 L,RETAINED
Surinder Singh,Pro Kabaddi Season 9,Gujarat Giants,20.00 L,RETAINED
Abhishek Singh,Pro Kabaddi Season 9,Gujarat Giants,20.00 L,RETAINED
Jeeva Kumar,Pro Kabaddi Season 9,Gujarat Giants,20.00 L,RETAINED
Deepak Narwal,Pro Kabaddi Season 9,Gujarat Giants,20.00 L,RETAINED
Rakesh Sangroya,Pro Kabaddi Season 9,Gujarat Giants,20.00 L,RETAINED
Aslam Inamdar,Pro Kabaddi Season 9,Haryana Steelers,25.00 L,RETAINED
Aslam Inamdar,Pro Kabaddi Season 8,Haryana Steelers,25.00 L,RETAINED
Aslam Inamdar,Pro Kabaddi Season 7,Haryana Steelers,7.26 L,SOLD
Mohit Chhillar,Pro Kabaddi Season 9,Haryana Steelers,25.00 L,RETAINED
Mohit Chhillar,Pro Kabaddi Season 8,Haryana Steelers,25.00 L,RETAINED
Mohit Chhillar,Pro Kabaddi Season 7,Haryana Steelers,7.26 L,SOLD
Amit Hooda,Pro Kabaddi Season 9,Haryana Steelers,25.00 L,RETAINED
Amit Hooda,Pro Kabaddi Season 8,Haryana Steelers,25.00 L,RETAINED
