Player_Name,Player_Link,Tournament,Team,Price,Status
Mohammad Esmaeil Nabibakhsh,https://www.kabaddiadda.com/player/mohammad-esmaeil-nabibakhsh-1000464?tab=auction,Pro Kabaddi Season 4,Bengal Warriors,10.40 L,SOLD
Shrikant Tewthia,https://www.kabaddiadda.com/player/shrikant-tewthia-1000032?tab=auction,Pro Kabaddi Season 8,Gujarat Giants,15.00 L,SOLD
Shrikant Tewthia,https://www.kabaddiadda.com/player/shrikant-tewthia-1000032?tab=auction,Pro Kabaddi Season 6,Gujarat Fortunegiants,24.55 L,SOLD
Shrikant Tewthia,https://www.kabaddiadda.com/player/shrikant-tewthia-1000032?tab=auction,Pro Kabaddi Season 6,Gujarat Fortunegiants,24.60 L,RETAINED
Shrikant Tewthia,https://www.kabaddiadda.com/player/shrikant-tewthia-1000032?tab=auction,Pro Kabaddi Season 5,Gujarat Fortunegiants,25.00 L,SOLD
Shrikant Tewthia,https://www.kabaddiadda.com/player/shrikant-tewthia-1000032?tab=auction,Pro Kabaddi Season 4,Bengal Warriors,10.40 L,SOLD
Vishal Prabhakar Mane,https://www.kabaddiadda.com/player/vishal-prabhakar-mane-1000139?tab=auction,Pro Kabaddi Season 8,Gujarat Giants,15.00 L,SOLD
Vishal Prabhakar Mane,https://www.kabaddiadda.com/player/vishal-prabhakar-mane-1000139?tab=auction,Pro Kabaddi Season 6,Gujarat Fortunegiants,24.55 L,SOLD
Vishal Prabhakar Mane,https://www.kabaddiadda.com/player/vishal-prabhakar-mane-1000139?tab=auction,Pro Kabaddi Season 6,Gujarat Fortunegiants,24.60 L,RETAINED
Vishal Prabhakar Mane,https://www.kabaddiadda.com/player/vishal-prabhakar-mane-1000139?tab=auction,Pro Kabaddi Season 5,Gujarat Fortunegiants,25.00 L,SOLD
Vishal Prabhakar Mane,https://www.kabaddiadda.com/player/vishal-prabhakar-mane-1000139?tab=auction,Pro Kabaddi Season 4,Bengal Warriors,10.40 L,SOLD
Sandeep Kandola,https://www.kabaddiadda.com/player/sandeep-kandola-5002681?tab=auction,Pro Kabaddi Season 8,Gujarat Giants,15.00 L,SOLD
Sandeep Kandola,https://www.kabaddiadda.com/player/sandeep-kandola-5002681?tab=auction,Pro Kabaddi Season 6,Gujarat Fortunegiants,24.55 L,SOLD
Sandeep Kandola,https://www.kabaddiadda.com/player/sandeep-kandola-5002681?tab=auction,Pro Kabaddi Season 6,Gujarat Fortunegiants,24.60 L,RETAINED
