player-super-raids_player_name,player-total-points_player_name,super-10s_player_name,player-successful-raids_player_name,player-super-tackles_player_name,player-avg-tackle-points_player_name,player-dod-raid-points_player_name,player-raid-points_player_name,player-successful-tackles_player_name,high-5s_player_name,player-tackle-points_player_name,player-super-raids_match_played,player-total-points_match_played,super-10s_match_played,player-successful-raids_match_played,player-super-tackles_match_played,player-avg-tackle-points_match_played,player-dod-raid-points_match_played,player-raid-points_match_played,player-successful-tackles_match_played,high-5s_match_played,player-tackle-points_match_played,player-super-raids_position_name,player-total-points_position_name,super-10s_position_name,player-successful-raids_position_name,player-super-tackles_position_name,player-avg-tackle-points_position_name,player-dod-raid-points_position_name,player-raid-points_position_name,player-successful-tackles_position_name,high-5s_position_name,player-tackle-points_position_name,player-super-raids_team,player-total-points_team,super-10s_team,player-successful-raids_team,player-super-tackles_team,player-avg-tackle-points_team,player-dod-raid-points_team,player-raid-points_team,player-successful-tackles_team,high-5s_team,player-tackle-points_team,player-super-raids_team_name,player-total-points_team_name,super-10s_team_name,player-successful-raids_team_name,player-super-tackles_team_name,player-avg-tackle-points_team_name,player-dod-raid-points_team_name,player-raid-points_team_name,player-successful-tackles_team_name,high-5s_team_name,player-tackle-points_team_name,player-super-raids_team_full_name,player-total-points_team_full_name,super-10s_team_full_name,player-successful-raids_team_full_name,player-super-tackles_team_full_name,player-avg-tackle-points_team_full_name,player-dod-raid-points_team_full_name,player-raid-points_team_full_name,player-successful-tackles_team_full_name,high-5s_team_full_name,player-tackle-points_team_full_name,player-super-raids_rank,player-total-points_rank,super-10s_rank,player-successful-raids_rank,player-super-tackles_rank,player-avg-tackle-points_rank,player-dod-raid-points_rank,player-raid-points_rank,player-successful-tackles_rank,high-5s_rank,player-tackle-points_rank,player-super-raids_value,player-total-points_value,super-10s_value,player-successful-raids_value,player-super-tackles_value,player-avg-tackle-points_value,player-dod-raid-points_value,player-raid-points_value,player-successful-tackles_value,high-5s_value,player-tackle-points_value,player-super-raids_points_per_match,player-total-points_points_per_match,super-10s_points_per_match,player-successful-raids_points_per_match,player-super-tackles_points_per_match,player-avg-tackle-points_points_per_match,player-dod-raid-points_points_per_match,player-raid-points_points_per_match,player-successful-tackles_points_per_match,high-5s_points_per_match,player-tackle-points_points_per_match,player-super-raids_team_id,player-total-points_team_id,super-10s_team_id,player-successful-raids_team_id,player-super-tackles_team_id,player-avg-tackle-points_team_id,player-dod-raid-points_team_id,player-raid-points_team_id,player-successful-tackles_team_id,high-5s_team_id,player-tackle-points_team_id,player-super-raids_position_id,player-total-points_position_id,super-10s_position_id,player-successful-raids_position_id,player-super-tackles_position_id,player-avg-tackle-points_position_id,player-dod-raid-points_position_id,player-raid-points_position_id,player-successful-tackles_position_id,high-5s_position_id,player-tackle-points_position_id
,Rohit Kumar,,Rohit Kumar,,,,Rohit Kumar,,,,,2,,2.0,,,,2.0,,,,,Raider,,Raider,,,,Raider,,,,,,,,,,,,,,,,GUJ,,GUJ,,,,GUJ,,,,,Gujarat Giants,,Gujarat Giants,,,,Gujarat Giants,,,,,207,,104.0,,,,106.0,,,,,1,,1.0,,,,1.0,,,,,0.5,,0.5,,,,0.5,,,,,31,,31.0,,,,31.0,,,,,8,,8.0,,,,8.0,,,
,Parvesh Bhainswal,,,Parvesh Bhainswal,Parvesh Bhainswal,Parvesh Bhainswal,Parvesh Bhainswal,Parvesh Bhainswal,Parvesh Bhainswal,Parvesh Bhainswal,,21,,,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,Defender - Left Cover,,,Defender - Left Cover,Defender - Left Cover,Defender - Left Cover,Defender - Left Cover,Defender - Left Cover,Defender - Left Cover,Defender - Left Cover,,,,,,,,,,,,,HYD,,,HYD,HYD,HYD,HYD,HYD,HYD,HYD,,Telugu Titans,,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,41,,,1.0,17.0,69.0,91.0,15.0,2.0,11.0,,58,,,10.0,2.57,1.0,4.0,44.0,6.0,54.0,,2.761904761904762,,,0.4761904761904761,0.1223809523809523,0.0476190476190476,0.1904761904761904,2.0952380952380953,0.2857142857142857,2.5714285714285716,,8,,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vikash Kandola,Vikash Kandola,Vikash Kandola,Vikash Kandola,,Vikash Kandola,Vikash Kandola,Vikash Kandola,Vikash Kandola,,Vikash Kandola,24.0,24,24.0,24.0,,24.0,24.0,24.0,24.0,,24.0,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,BLR,BLR,BLR,BLR,,BLR,BLR,BLR,BLR,,BLR,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,5.0,17,21.0,13.0,,155.0,25.0,17.0,109.0,,118.0,6.0,139,4.0,111.0,,0.17,14.0,135.0,4.0,,4.0,0.25,5.791666666666667,0.1666666666666666,4.625,,0.0070833333333333,0.5833333333333334,5.625,0.1666666666666666,,0.1666666666666666,1.0,1,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,8.0,8,8.0,8.0,,8.0,8.0,8.0,8.0,,8.0
,Sunil Kumar,,Sunil Kumar,Sunil Kumar,Sunil Kumar,,Sunil Kumar,Sunil Kumar,Sunil Kumar,Sunil Kumar,,23,,23.0,23.0,23.0,,23.0,23.0,23.0,23.0,,Defender,,Defender,Defender,Defender,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,JAI,,JAI,JAI,JAI,,JAI,JAI,JAI,JAI,,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,35,,100.0,48.0,12.0,,110.0,4.0,5.0,4.0,,65,,1.0,2.0,2.78,,1.0,62.0,4.0,64.0,,2.8260869565217392,,0.0434782608695652,0.0869565217391304,0.1208695652173913,,0.0434782608695652,2.6956521739130435,0.1739130434782608,2.782608695652174,,3,,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,,9,,9.0,9.0,9.0,,9.0,9.0,9.0,9.0
Monu Goyat,Monu Goyat,,Monu Goyat,,Monu Goyat,Monu Goyat,Monu Goyat,Monu Goyat,,Monu Goyat,10.0,10,,10.0,,10.0,10.0,10.0,10.0,,10.0,Raider,Raider,,Raider,,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,HYD,HYD,,HYD,,HYD,HYD,HYD,HYD,,HYD,Telugu Titans,Telugu Titans,,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,Telugu Titans,54.0,85,,46.0,,171.0,48.0,47.0,158.0,,167.0,1.0,33,,22.0,,0.1,4.0,32.0,1.0,,1.0,0.1,3.3,,2.2,,0.01,0.4,3.2,0.1,,0.1,8.0,8,,8.0,,8.0,8.0,8.0,8.0,,8.0,8.0,8,,8.0,,8.0,8.0,8.0,8.0,,8.0
,Dong Geon Lee,Dong Geon Lee,Dong Geon Lee,Dong Geon Lee,Dong Geon Lee,Dong Geon Lee,Dong Geon Lee,Dong Geon Lee,,Dong Geon Lee,,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,12.0,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,,GUJ,GUJ,GUJ,GUJ,GUJ,GUJ,GUJ,GUJ,,GUJ,,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,,Gujarat Giants,,67,31.0,38.0,62.0,154.0,65.0,42.0,159.0,,143.0,,39,1.0,30.0,1.0,0.17,1.0,37.0,1.0,,2.0,,3.25,0.0833333333333333,2.5,0.0833333333333333,0.0141666666666666,0.0833333333333333,3.0833333333333335,0.0833333333333333,,0.1666666666666666,,31,31.0,31.0,31.0,31.0,31.0,31.0,31.0,,31.0,,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8.0
,Mohsen Maghsoudlou,,Mohsen Maghsoudlou,Mohsen Maghsoudlou,Mohsen Maghsoudlou,Mohsen Maghsoudlou,Mohsen Maghsoudlou,Mohsen Maghsoudlou,,Mohsen Maghsoudlou,,16,,16.0,16.0,16.0,16.0,16.0,16.0,,16.0,,All-Rounder,,All-Rounder,All-Rounder,All-Rounder,All-Rounder,All-Rounder,All-Rounder,,All-Rounder,,,,,,,,,,,,,HYD,,HYD,HYD,HYD,HYD,HYD,HYD,,HYD,,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,Telugu Titans,,81,,51.0,63.0,107.0,37.0,50.0,80.0,,79.0,,34,,20.0,1.0,0.56,6.0,25.0,8.0,,9.0,,2.125,,1.25,0.0625,0.035,0.375,1.5625,0.5,,0.5625,,8,,8.0,8.0,8.0,8.0,8.0,8.0,,8.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
,Baldev Singh,,,,Baldev Singh,,,Baldev Singh,,Baldev Singh,,8,,,,8.0,,,8.0,,8.0,,Defender - Right Corner,,,,Defender - Right Corner,,,Defender - Right Corner,,Defender - Right Corner,,,,,,,,,,,,,GUJ,,,,GUJ,,,GUJ,,GUJ,,Gujarat Giants,,,,Gujarat Giants,,,Gujarat Giants,,Gujarat Giants,,188,,,,147.0,,,140.0,,142.0,,2,,,,0.25,,,2.0,,2.0,,0.25,,,,0.03125,,,0.25,,0.25,,31,,,,31.0,,,31.0,,31.0,,0,,,,0.0,,,0.0,,0.0
,Narender Hooda,,,,Narender Hooda,,,Narender Hooda,,Narender Hooda,,9,,,,9.0,,,9.0,,9.0,,All Rounder,,,,All Rounder,,,All Rounder,,All Rounder,,,,,,,,,,,,,BLR,,,,BLR,,,BLR,,BLR,,Bengaluru Bulls,,,,Bengaluru Bulls,,,Bengaluru Bulls,,Bengaluru Bulls,,182,,,,132.0,,,120.0,,126.0,,3,,,,0.33,,,3.0,,3.0,,0.3333333333333333,,,,0.0366666666666666,,,0.3333333333333333,,0.3333333333333333,,1,,,,1.0,,,1.0,,1.0,,0,,,,0.0,,,0.0,,0.0
Anand Tomar,Anand Tomar,,Anand Tomar,,,,Anand Tomar,,,,4.0,4,,4.0,,,,4.0,,,,Raider,Raider,,Raider,,,,Raider,,,,,,,,,,,,,,,PAT,PAT,,PAT,,,,PAT,,,,Patna Pirates,Patna Pirates,,Patna Pirates,,,,Patna Pirates,,,,55.0,111,,55.0,,,,55.0,,,,1.0,18,,14.0,,,,18.0,,,,0.25,4.5,,3.5,,,,4.5,,,,6.0,6,,6.0,,,,6.0,,,,8.0,8,,8.0,,,,8.0,,,
,Gulveer Singh,,,Gulveer Singh,Gulveer Singh,,,Gulveer Singh,,Gulveer Singh,,2,,,2.0,2.0,,,2.0,,2.0,,Raider,,,Raider,Raider,,,Raider,,Raider,,,,,,,,,,,,,U.P.,,,U.P.,U.P.,,,U.P.,,U.P.,,U.P. Yoddhas,,,U.P. Yoddhas,U.P. Yoddhas,,,U.P. Yoddhas,,U.P. Yoddhas,,191,,,64.0,84.0,,,156.0,,141.0,,2,,,1.0,1.0,,,1.0,,2.0,,1.0,,,0.5,0.5,,,0.5,,1.0,,30,,,30.0,30.0,,,30.0,,30.0,,8,,,8.0,8.0,,,8.0,,8.0
Bhavani Rajput,Bhavani Rajput,,Bhavani Rajput,,,Bhavani Rajput,Bhavani Rajput,,,,14.0,14,,14.0,,,14.0,14.0,,,,Raider,Raider,,Raider,,,Raider,Raider,,,,,,,,,,,,,,,JAI,JAI,,JAI,,,JAI,JAI,,,,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,,,Jaipur Pink Panthers,Jaipur Pink Panthers,,,,56.0,75,,42.0,,,36.0,43.0,,,,1.0,36,,27.0,,,7.0,36.0,,,,0.0714285714285714,2.5714285714285716,,1.9285714285714288,,,0.5,2.5714285714285716,,,,3.0,3,,3.0,,,3.0,3.0,,,,8.0,8,,8.0,,,8.0,8.0,,,
,Babu M,,,Babu M,Babu M,,,Babu M,,Babu M,,2,,,2.0,2.0,,,2.0,,2.0,,Defender - Left Cover,,,Defender - Left Cover,Defender - Left Cover,,,Defender - Left Cover,,Defender - Left Cover,,,,,,,,,,,,,U.P.,,,U.P.,U.P.,,,U.P.,,U.P.,,U.P. Yoddhas,,,U.P. Yoddhas,U.P. Yoddhas,,,U.P. Yoddhas,,U.P. Yoddhas,,183,,,65.0,50.0,,,141.0,,127.0,,3,,,1.0,1.5,,,2.0,,3.0,,1.5,,,0.5,0.75,,,1.0,,1.5,,30,,,30.0,30.0,,,30.0,,30.0,,0,,,0.0,0.0,,,0.0,,0.0
,Maninder Singh,,Maninder Singh,,,,Maninder Singh,,,,,1,,1.0,,,,1.0,,,,,Raider,,Raider,,,,Raider,,,,,,,,,,,,,,,,HAR,,HAR,,,,HAR,,,,,Haryana Steelers,,Haryana Steelers,,,,Haryana Steelers,,,,,190,,91.0,,,,103.0,,,,,2,,2.0,,,,2.0,,,,,2.0,,2.0,,,,2.0,,,,,28,,28.0,,,,28.0,,,,,8,,8.0,,,,8.0,,,
Sachin,Sachin,Sachin,Sachin,,Sachin,Sachin,Sachin,Sachin,,Sachin,20.0,20,20.0,20.0,,20.0,20.0,20.0,20.0,,20.0,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,PAT,PAT,PAT,PAT,,PAT,PAT,PAT,PAT,,PAT,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,Patna Pirates,12.0,8,8.0,7.0,,159.0,1.0,8.0,125.0,,128.0,4.0,179,8.0,145.0,,0.15,67.0,176.0,3.0,,3.0,0.2,8.95,0.4,7.25,,0.0075,3.35,8.8,0.15,,0.15,6.0,6,6.0,6.0,,6.0,6.0,6.0,6.0,,6.0,8.0,8,8.0,8.0,,8.0,8.0,8.0,8.0,,8.0
Manjeet,Manjeet,Manjeet,Manjeet,Manjeet,Manjeet,Manjeet,Manjeet,Manjeet,,Manjeet,22.0,22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,22.0,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,HAR,HAR,HAR,HAR,HAR,HAR,HAR,HAR,HAR,,HAR,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,,Haryana Steelers,25.0,9,13.0,10.0,66.0,101.0,29.0,9.0,62.0,,63.0,3.0,163,6.0,117.0,1.0,0.64,12.0,149.0,13.0,,14.0,0.1363636363636363,7.409090909090909,0.2727272727272727,5.318181818181818,0.0454545454545454,0.029090909090909,0.5454545454545454,6.7727272727272725,0.5909090909090909,,0.6363636363636364,28.0,28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,,28.0,8.0,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8.0
,Vinod Kumar,,,,,Vinod Kumar,Vinod Kumar,,,,,3,,,,,3.0,3.0,,,,,All-Rounder,,,,,All-Rounder,All-Rounder,,,,,,,,,,,,,,,,KOL,,,,,KOL,KOL,,,,,Bengal Warriors,,,,,Bengal Warriors,Bengal Warriors,,,,,202,,,,,66.0,112.0,,,,,1,,,,,1.0,1.0,,,,,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,,,,,4,,,,,4.0,4.0,,,,,0,,,,,0.0,0.0,,,
,Vijay Kumar,,,Vijay Kumar,Vijay Kumar,,Vijay Kumar,Vijay Kumar,,Vijay Kumar,,11,,,11.0,11.0,,11.0,11.0,,11.0,,Defender - Right Corner,,,Defender - Right Corner,Defender - Right Corner,,Defender - Right Corner,Defender - Right Corner,,Defender - Right Corner,,,,,,,,,,,,,HYD,,,HYD,HYD,,HYD,HYD,,HYD,,Telugu Titans,,,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,,Telugu Titans,,117,,,20.0,61.0,,113.0,63.0,,62.0,,16,,,3.0,1.36,,1.0,12.0,,15.0,,1.4545454545454546,,,0.2727272727272727,0.1236363636363636,,0.0909090909090909,1.0909090909090908,,1.3636363636363635,,8,,,8.0,8.0,,8.0,8.0,,8.0,,0,,,0.0,0.0,,0.0,0.0,,0.0
,Mahender Singh,,,Mahender Singh,Mahender Singh,,Mahender Singh,Mahender Singh,Mahender Singh,Mahender Singh,,23,,,23.0,23.0,,23.0,23.0,23.0,23.0,,Defender - Left Cover,,,Defender - Left Cover,Defender - Left Cover,,Defender - Left Cover,Defender - Left Cover,Defender - Left Cover,Defender - Left Cover,,,,,,,,,,,,,BLR,,,BLR,BLR,,BLR,BLR,BLR,BLR,,Bengaluru Bulls,,,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,57,,,21.0,34.0,,114.0,17.0,35.0,19.0,,45,,,3.0,1.91,,1.0,41.0,1.0,44.0,,1.9565217391304348,,,0.1304347826086956,0.0830434782608695,,0.0434782608695652,1.7826086956521738,0.0434782608695652,1.9130434782608696,,1,,,1.0,1.0,,1.0,1.0,1.0,1.0,,0,,,0.0,0.0,,0.0,0.0,0.0,0.0
,More G B,,,,More G B,More G B,More G B,More G B,,More G B,,10,,,,10.0,10.0,10.0,10.0,,10.0,,Raider,,,,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,,BLR,,,,BLR,BLR,BLR,BLR,,BLR,,Bengaluru Bulls,,,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,,181,,,,149.0,67.0,115.0,137.0,,140.0,,3,,,,0.2,1.0,1.0,2.0,,2.0,,0.3,,,,0.02,0.1,0.1,0.2,,0.2,,1,,,,1.0,1.0,1.0,1.0,,1.0,,8,,,,8.0,8.0,8.0,8.0,,8.0
Arjun Deshwal,Arjun Deshwal,Arjun Deshwal,Arjun Deshwal,,,Arjun Deshwal,Arjun Deshwal,,,,24.0,24,24.0,24.0,,,24.0,24.0,,,,Raider,Raider,Raider,Raider,,,Raider,Raider,,,,,,,,,,,,,,,JAI,JAI,JAI,JAI,,,JAI,JAI,,,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,,Jaipur Pink Panthers,Jaipur Pink Panthers,,,,4.0,1,1.0,1.0,,,3.0,1.0,,,,7.0,296,17.0,237.0,,,38.0,296.0,,,,0.2916666666666667,12.333333333333334,0.7083333333333334,9.875,,,1.5833333333333333,12.333333333333334,,,,3.0,3,3.0,3.0,,,3.0,3.0,,,,8.0,8,8.0,8.0,,,8.0,8.0,,,
Ajinkya Kapre,Ajinkya Kapre,,Ajinkya Kapre,,Ajinkya Kapre,Ajinkya Kapre,Ajinkya Kapre,Ajinkya Kapre,,Ajinkya Kapre,7.0,7,,7.0,,7.0,7.0,7.0,7.0,,7.0,All-Rounder,All-Rounder,,All-Rounder,,All-Rounder,All-Rounder,All-Rounder,All-Rounder,,All-Rounder,,,,,,,,,,,,KOL,KOL,,KOL,,KOL,KOL,KOL,KOL,,KOL,Bengal Warriors,Bengal Warriors,,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,51.0,118,,72.0,,120.0,63.0,69.0,127.0,,129.0,1.0,14,,6.0,,0.43,2.0,11.0,3.0,,3.0,0.1428571428571428,2.0,,0.8571428571428571,,0.0614285714285714,0.2857142857142857,1.5714285714285714,0.4285714285714285,,0.4285714285714285,4.0,4,,4.0,,4.0,4.0,4.0,4.0,,4.0,0.0,0,,0.0,,0.0,0.0,0.0,0.0,,0.0
Siddharth Desai,Siddharth Desai,Siddharth Desai,Siddharth Desai,,Siddharth Desai,Siddharth Desai,Siddharth Desai,Siddharth Desai,,Siddharth Desai,17.0,17,17.0,17.0,,17.0,17.0,17.0,17.0,,17.0,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,HYD,HYD,HYD,HYD,,HYD,HYD,HYD,HYD,,HYD,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,Telugu Titans,29.0,14,14.0,12.0,,166.0,20.0,11.0,136.0,,139.0,2.0,144,6.0,112.0,,0.12,17.0,142.0,2.0,,2.0,0.1176470588235294,8.470588235294118,0.3529411764705882,6.588235294117647,,0.0070588235294117,1.0,8.352941176470589,0.1176470588235294,,0.1176470588235294,8.0,8,8.0,8.0,,8.0,8.0,8.0,8.0,,8.0,8.0,8,8.0,8.0,,8.0,8.0,8.0,8.0,,8.0
Abhishek Singh,Abhishek Singh,,Abhishek Singh,,Abhishek Singh,Abhishek Singh,Abhishek Singh,Abhishek Singh,,Abhishek Singh,16.0,16,,16.0,,16.0,16.0,16.0,16.0,,16.0,Raider,Raider,,Raider,,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,HYD,HYD,,HYD,,HYD,HYD,HYD,HYD,,HYD,Telugu Titans,Telugu Titans,,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,Telugu Titans,49.0,40,,32.0,,152.0,21.0,32.0,126.0,,131.0,1.0,59,,45.0,,0.19,17.0,56.0,3.0,,3.0,0.0625,3.6875,,2.8125,,0.011875,1.0625,3.5,0.1875,,0.1875,8.0,8,,8.0,,8.0,8.0,8.0,8.0,,8.0,8.0,8,,8.0,,8.0,8.0,8.0,8.0,,8.0
,Gurdeep,,,Gurdeep,Gurdeep,,Gurdeep,Gurdeep,Gurdeep,Gurdeep,,20,,,20.0,20.0,,20.0,20.0,20.0,20.0,,All-Rounder,,,All-Rounder,All-Rounder,,All-Rounder,All-Rounder,All-Rounder,All-Rounder,,,,,,,,,,,,,U.P.,,,U.P.,U.P.,,U.P.,U.P.,U.P.,U.P.,,U.P. Yoddhas,,,U.P. Yoddhas,U.P. Yoddhas,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,74,,,47.0,38.0,,111.0,30.0,20.0,28.0,,36,,,2.0,1.75,,1.0,33.0,2.0,35.0,,1.8,,,0.1,0.0875,,0.05,1.65,0.1,1.75,,30,,,30.0,30.0,,30.0,30.0,30.0,30.0,,0,,,0.0,0.0,,0.0,0.0,0.0,0.0
Rajnish,Rajnish,,Rajnish,,,,Rajnish,,,,2.0,2,,2.0,,,,2.0,,,,Raider,Raider,,Raider,,,,Raider,,,,,,,,,,,,,,,HYD,HYD,,HYD,,,,HYD,,,,Telugu Titans,Telugu Titans,,Telugu Titans,,,,Telugu Titans,,,,50.0,128,,69.0,,,,68.0,,,,1.0,11,,7.0,,,,11.0,,,,0.5,5.5,,3.5,,,,5.5,,,,8.0,8,,8.0,,,,8.0,,,,8.0,8,,8.0,,,,8.0,,,
Naveen Kumar,Naveen Kumar,Naveen Kumar,Naveen Kumar,Naveen Kumar,Naveen Kumar,Naveen Kumar,Naveen Kumar,Naveen Kumar,,Naveen Kumar,23.0,23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,23.0,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,,DEL,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,20.0,3,2.0,3.0,67.0,153.0,31.0,3.0,124.0,,116.0,3.0,258,16.0,213.0,1.0,0.17,12.0,254.0,3.0,,4.0,0.1304347826086956,11.217391304347826,0.6956521739130435,9.26086956521739,0.0434782608695652,0.007391304347826,0.5217391304347826,11.043478260869565,0.1304347826086956,,0.1739130434782608,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,8.0,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8.0
,Arkam Shaikh,,Arkam Shaikh,,Arkam Shaikh,,Arkam Shaikh,Arkam Shaikh,Arkam Shaikh,Arkam Shaikh,,22,,22.0,,22.0,,22.0,22.0,22.0,22.0,,All-Rounder,,All-Rounder,,All-Rounder,,All-Rounder,All-Rounder,All-Rounder,All-Rounder,,,,,,,,,,,,,GUJ,,GUJ,,GUJ,,GUJ,GUJ,GUJ,GUJ,,Gujarat Giants,,Gujarat Giants,,Gujarat Giants,,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,,65,,106.0,,43.0,,93.0,24.0,29.0,25.0,,40,,1.0,,1.68,,3.0,37.0,1.0,37.0,,1.818181818181818,,0.0454545454545454,,0.0763636363636363,,0.1363636363636363,1.681818181818182,0.0454545454545454,1.681818181818182,,31,,31.0,,31.0,,31.0,31.0,31.0,31.0,,0,,0.0,,0.0,,0.0,0.0,0.0,0.0
,Sombir,,,Sombir,Sombir,,,Sombir,Sombir,Sombir,,18,,,18.0,18.0,,,18.0,18.0,18.0,,Defender,,,Defender,Defender,,,Defender,Defender,Defender,,,,,,,,,,,,,PUN,,,PUN,PUN,,,PUN,PUN,PUN,,Puneri Paltan,,,Puneri Paltan,Puneri Paltan,,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,77,,,52.0,33.0,,,28.0,30.0,27.0,,35,,,2.0,1.94,,,33.0,1.0,35.0,,1.9444444444444444,,,0.1111111111111111,0.1077777777777777,,,1.8333333333333333,0.0555555555555555,1.9444444444444444,,7,,,7.0,7.0,,,7.0,7.0,7.0,,9,,,9.0,9.0,,,9.0,9.0,9.0
,Balasaheb Jadhav,,,,Balasaheb Jadhav,,,Balasaheb Jadhav,,Balasaheb Jadhav,,6,,,,6.0,,,6.0,,6.0,,All-Rounder,,,,All-Rounder,,,All-Rounder,,All-Rounder,,,,,,,,,,,,,PUN,,,,PUN,,,PUN,,PUN,,Puneri Paltan,,,,Puneri Paltan,,,Puneri Paltan,,Puneri Paltan,,180,,,,112.0,,,123.0,,130.0,,3,,,,0.5,,,3.0,,3.0,,0.5,,,,0.0833333333333333,,,0.5,,0.5,,7,,,,7.0,,,7.0,,7.0,,0,,,,0.0,,,0.0,,0.0
,M. Abishek,,,M. Abishek,M. Abishek,,,M. Abishek,M. Abishek,M. Abishek,,23,,,23.0,23.0,,,23.0,23.0,23.0,,Defender - Right Cover,,,Defender - Right Cover,Defender - Right Cover,,,Defender - Right Cover,Defender - Right Cover,Defender - Right Cover,,,,,,,,,,,,,CHE,,,CHE,CHE,,,CHE,CHE,CHE,,Tamil Thalaivas,,,Tamil Thalaivas,Tamil Thalaivas,,,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,,64,,,59.0,40.0,,,19.0,31.0,23.0,,40,,,1.0,1.74,,,39.0,1.0,40.0,,1.7391304347826086,,,0.0434782608695652,0.0756521739130434,,,1.6956521739130437,0.0434782608695652,1.7391304347826086,,29,,,29.0,29.0,,,29.0,29.0,29.0,,0,,,0.0,0.0,,,0.0,0.0,0.0
